"id_capa
layer_id (only used by code, does not get displayed, can ignore, but don't remove this column)","nombre_capa
layer_name","grupo_capa
layer_group","descripción_capa
layer_description","grupo_modelo
model_group","alcance_espacial
spatial extent","visibilidad
visibility","org_fuente
source_org","en_uso_actual
in_use_now","url_fuente (si corresponde)
source_url (if applicable)","fecha_creacion
source_created_date","fecha_actualizado
source_updated_date","licencia_de_uso
source_license","contacto_fuente
source_contact","nombre_archivo
filename","tipo_almacenamiento
storage_type","ubicación_almacenamiento
storage_location","formato_datos
data_format","notas
notes","estado_metadatos
metadata_status","fecha_verificacion_metadatos
metadata_verified_at","verificado_por_metadatos
metadata_verified_by"
species_richness,"Riqueza de especies
Species Richness",Biodiversidad,"Biodiversity richness surface summarizing ecosystem-level species richness across the country.

[Inserta la espanol aqui]","característica
feature",nacional,a todos,IAvH (BioModelos),TRUE,unknown,unknown,unknown,unknown,unknown,riqueza_especies.tif,in Google Drive,inputs/features/species_richness/riqueza_especies.tif,GeoTIFF,,partial,2026-04-22,DISES Team + Mesa Nacional
species,"Distribuciones de especies individuales (~8751)
Individual Species Distributions",Biodiversidad,Species distribution raster collection for potential species explorer,"característica
feature",nacional,a todos,IAvH (BioModelos),TRUE,https://geonetwork.humboldt.org.co/geonetwork/srv/spa/catalog.search#/metadata/0a1a6bdf-3231-4a77-8031-0dc3fa40f21b,2023-06-24,,unknown,Elkin Alexi Noguera: enoguera@humboldt.org.co,NA,in Google Drive,inputs/features/species/,GeoTIFF,,partial,2026-04-22,DISES Team
paramos,Páramos ,Ecosistemas estratégicos,"Contiene la delimitación oficial de los complejos de páramo; su propósito es servir de referencia oficial para la gestión ambiental, la planificación territorial, la conservación y el manejo sostenible de los ecosistemas de alta montaña.","característica
feature",nacional,a todos,Minambiente,TRUE,Servidor SIAC: https://siac-datosabiertos-mads.hub.arcgis.com/maps/a85c9d818c9640649318a33b9fa115fd/about,2020-10-20,2025-10-24,unknown,Fardila@minambiente.gov.co,paramos.tif,in Google Drive,inputs/features/strategic/paramos.tif,GeoTIFF,,partial,2026-04-22,DISES Team
wetlands,"Humedales
Wetlands",Ecosistemas estratégicos,La delimitación geográfica de los humedales continentales de Colombia a escala 1:100.000.,"característica
feature",nacional,a todos,MInambiente,TRUE,Servidor SIAC: https://siac-datosabiertos-mads.hub.arcgis.com/maps/a85c9d818c9640649318a33b9fa115fd/about,2021-11-09,2025-10-24,unknown,unknown,humedales.tif,in Google Drive,inputs/features/strategic/humedales.tif,GeoTIFF,,partial,2026-04-22,DISES Team
bosque_seco,"Bosque seco
Dry Forest",Ecosistemas estratégicos,"La distribución geográfica de los ecosistemas de bosque seco tropical en Colombia, elaborada a escala 1:100.000","característica
feature",nacional,a todos,Minambiente,TRUE,Servidor SIAC: https://siac-datosabiertos-mads.hub.arcgis.com/maps/a85c9d818c9640649318a33b9fa115fd/about,2022-11-29,2025-10-24,unknown,Fardila@minambiente.gov.co,bosque_seco.tif,in Google Drive,inputs/features/strategic/bosque_seco.tif,GeoTIFF,,partial,2026-04-22,DISES Team
mangroves,"Manglares
Mangroves",Ecosistemas estratégicos,Highlights mangrove ecosystems that support coastal protection and local livelihoods.,"característica
feature",nacional,a todos,INVEMAR,TRUE,Servidor INVEMAR: https://acceso-datos-ambientales-invemar.hub.arcgis.com/datasets/INVEMAR::manglares-colombia/about,2023-03-22,unknown,Custom license (see source url),unknown,mangroves.tif,in Google Drive,inputs/features/strategic/mangroves.tif,GeoTIFF,,partial,2026-04-22,DISES Team
ecosistemas,"Ecosistemas
Ecosystems",Ecosistemas,Descripción de biomas y ecosistemas a escala 1:100.000,"característica
feature",nacional,a todos,Humboldt (IAvH),TRUE,Servidor:https://experience.arcgis.com/experience/568ddab184334f6b81a04d2fe9aac262/page/Datos-Abiertos-Geogr%C3%A1ficos-/-,unknown,unknown,unknown,unknown,ecosistemas.tif,in Google Drive,inputs/features/ecosystems/ecosistemas.tif,GeoTIFF or Feature Service,,partial,2026-04-22,DISES Team
marine_ecosystems,"Ecosistemas marinos
Marine Ecosystems",Ecosistemas,Capa clasificada de 145 ecosistemas marinos utilizada en las soluciones de conservación marina.,"característica
feature",marine,a todos,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,marine_ecosystems.tif,Vercel Blob,data/inputs/features/marine/marine_ecosystems.tif,GeoTIFF,"Reconstructed from the model's sparse ecosystem matrix and masked to cells with valid Marine Human Footprint cost values; category lookup is stored alongside the raster.",partial,2026-07-22,DISES Team
biomasa_areara+subterranea_1km,"Biomasa aérea y subterránea
Above and belowground biomass",Servicios ecosistémicos,Above and belowground biomass,"característica
feature",nacional,a todos,Spawn et al. 2020,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,in Google Drive,inputs/features/biomass/biomasa_areara+subterranea_1km.tif,GeoTIFF,,partial,2026-04-22,
recarga_agua_subterranea_moderado_alto,"Recarga de aguas subterraneas
Underground water recharge",Servicios ecosistémicos,,"característica
feature",nacional,a todos,IDEAM,FALSE,https://bart.ideam.gov.co/cneideam/Capasgeo/#:~:text=Zonas%5FPotenciales%5Fde%5FRecarga%5Fde%5FAgua%5FSubterraneas%5FEna2018,unkown,unkown,unknown,unkown,recarga_agua_subterranea_moderado_alto.tif,in Google Drive,inputs/features/ground_water_recharge/recarga_agua_subterranea_moderado_alto.tif,GeoTIFF,,,2026-04-22,
human_footprint_2022,"Índice de Huella Espacial Humana 2022
Human Footprint 2022",Costo,Shows projected human footprint intensity to provide pressure context across the landscape.,costo,nacional,a todos,Humboldt (IAvH),TRUE,https://geonetwork.humboldt.org.co/geonetwork/srv/spa/catalog.search#/metadata/7d8f0aeb-8136-45a7-a469-f0016f618250,2024-01-30,,unknown,Sergio Rojas: srojas@humboldt.org.co,human_footprint_2022.tif,in Google Drive,inputs/costs/human_footprint_2022.tif,GeoTIFF,,partial,2026-04-22,DISES Team
hhm,"Huella humana marina
Marine Human Modification (HHM)",Costo,Shows marine human modification intensity used as the fixed cost surface for supported marine conservation solutions.,costo,marine,a todos,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,huella_humana_marina.tif,Vercel Blob,https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/costs/huella_humana_marina.tif,GeoTIFF,"EPSG:9377 continuous raster at approximately 1 km resolution; values range from 0 to 98.418.",partial,2026-07-23,DISES Team
