feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,run
ecosistemas,TRUE,358015939,107404781.7,107404782,0,0.3,0.300000001,0,Ecos30+RUNAP+OMEC_HF
ecosistemas,TRUE,358015939,107404781.7,179699651,0,0.3,0.501931985,0,Ecos30_RUNAP_HF_comunidades
ecosistemas,TRUE,358015939,60862709.63,91681939,0,0.17,0.2560834,0,Ecos17+RUNAP+OMEC_HF
ecosistemas,TRUE,358015939,60862709.63,61962062,0,0.17,0.17307068,0,Ecos17+RUNAP_CO
ecosistemas,TRUE,358015939,107404781.7,107404793,0,0.3,0.300000032,0,Ecos30+RUNAP_CO
ecosistemas,TRUE,358015939,60862709.63,180246494,0,0.17,0.503459412,0,Ecos17+RUNAP_comunidades_CO
ecosistemas,TRUE,358015939,60862709.63,91902401,0,0.17,0.256699188,0,Ecos17+RUNAP+OMEC_CO
ecosistemas,TRUE,358015939,107404781.7,107404793,0,0.3,0.300000032,0,Ecos30+RUNAP+OMEC_CO
ecosistemas,TRUE,358015939,107404781.7,107404791,0,0.3,0.300000026,0,Ecos30+RUNAP_CONFLICTO
paramos,TRUE,2639873,791961.9,792110,0,0.3,0.300056101,0,ESTR30+RUNAP_HF
Manglares INVEMAR,TRUE,3179,953.7,1033,0,0.3,0.324944951,0,ESTR30+RUNAP_HF
humedales,TRUE,2376010,712803,756350,0,0.3,0.318327785,0,ESTR30+RUNAP_HF
bosque_seco,TRUE,12022,3606.6,3607,0,0.3,0.300033272,0,ESTR30+RUNAP_HF
