layer_id,layer_name,layer_description,layer_group,visibility,source_org,scope,source_dataset_name,source_url,source_created_at,source_updated_at,source_license,source_contact,metadata_verified_at,metadata_verified_by,storage_type,canonical_storage_uri,app_fetch_uri,data_format,region_key,required_for_solution,in_use_now,selectable_in_finder,visible_in_map_layers,current_status,release_priority,target_app_surface,notes,scope_tags,metadata_status,validated_at,validated_by,selected_for_release
FEAT_SPECIES_RICHNESS,Species Richness (Ecosistemas),Biodiversity richness surface summarizing ecosystem-level species richness across the country.,features,all,Humboldt (BioModelos),nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/ecosystems/ecosistemas.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Core feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
FEAT_PARAMOS,Paramos,Paramos ecosystems layer representing high-altitude habitats important for biodiversity and water regulation.,features,all,Humboldt (IAvH),nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/strategic/paramos.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Strategic ecosystem feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
FEAT_MANGROVES,Mangroves (INVEMAR),Mangrove ecosystems layer representing coastal habitats important for biodiversity and shoreline protection.,features,all,INVEMAR,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/strategic/mangroves.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Strategic ecosystem feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
FEAT_WETLANDS,Wetlands (Humedales),Wetlands ecosystems layer representing habitats important for water storage and biodiversity.,features,all,IDEAM,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/strategic/humedales.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Strategic ecosystem feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
FEAT_DRY_FOREST,Dry Forest (Bosque Seco),Dry forest ecosystems layer representing threatened habitats with high conservation importance.,features,all,IDEAM,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/strategic/bosque_seco.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Strategic ecosystem feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
DISP_PARAMOS,Paramos,Highlights paramos ecosystems that support biodiversity and water regulation.,features,all,Humboldt (IAvH),nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/features/strategic/paramos.tif,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists but not wired,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_WETLANDS,Wetlands,Highlights wetlands that support water storage and habitat connectivity.,features,all,IDEAM,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/features/strategic/humedales.tif,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists but not wired,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_DRY_FOREST,Dry Forest,Highlights dry forest ecosystems that are highly threatened and conservation-priority habitats.,features,all,IDEAM,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/features/strategic/bosque_seco.tif,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists but not wired,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_MANGROVES,Mangroves,Highlights mangrove ecosystems that support coastal protection and local livelihoods.,features,all,INVEMAR,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/features/strategic/mangroves.tif,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists but not wired,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_CARBON,Carbon Storage,Shows areas with higher potential carbon storage for climate mitigation context.,features,all,IDEAM,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,unknown,unknown,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,missing,medium,left-sidebar-map-layers,Needed for environmental services visualization,nacional,missing,2026-04-03T00:27:53Z,App Team,FALSE
