biome,biome_id
Cuenca en Talúd Baudó,1
Terrazas y Mesetas en Cordillera Malpelo,2
Escarpe en Cordillera Malpelo,3
Monte en Elevación Oceánica Tumaco,4
Banco en Talúd Baudó,5
Fondos móviles de grano grueso carbonatados en Buenaventura,6
Fondos móviles de grano fino no carbonatados en Sanquianga,7
Fondos móviles de grano grueso carbonatados en Baudo,8
Fondos móviles de grano grueso no carbonatados en Naya,9
Fondos móviles de grano grueso no carbonatados en Sanquianga,10
Fondos móviles de grano grueso carbonatados en Sanquianga,11
Fondos móviles de grano fino no carbonatados en Naya,12
Fondos móviles de grano grueso carbonatados en Darien,13
Depresion en Cuenca Kuiva,14
Valle Submarino en Cuenca Kuiva,15
Escarpe en Cuenca Kuiva,16
Cañón submarino en Cordillera Tayrona,17
Fondos móviles de grano fino carbonatados en Archipielagos Coralinos,18
Fondos móviles de grano fino no carbonatados en Archipielagos Coralinos,19
Fondos móviles de grano grueso carbonatados en Archipielagos Coralinos,20
Fondos móviles de grano grueso carbonatados en Tayrona,21
Fondos móviles de grano fino carbonatados en Palomino,22
Formaciones coralinas en Archipielagos Coralinos,23
Monte en Cordillera Beata,24
Terrazas y Mesetas en Cordillera Beata,25
Cuenca en Talud Caribana,26
Hoyo en Cuenca del Pacífico,27
Abanico en Talud Caribana,28
Fondos móviles de grano grueso carbonatados en Pacifico Norte,29
Plataforma continental en Plataforma continental Mesoamericana,30
Espolon en Cordillera Beata,31
Formaciones coralinas en Guajira,32
Depresion en Cuenca del Pacífico,33
Monte en Cordillera Malpelo,34
Colinas y lomas en Elevación Oceánica Tumaco,35
Cañón submarino en Talúd Baudó,36
Delta en Talúd Baudó,37
Depresion en Elevación Oceánica Tumaco,38
Valle Submarino en Cordillera Malpelo,39
Colinas y lomas en Zona de Fractura de Panamá,40
Depresion en Zona de Fractura de Panamá,41
Espolon en Talúd Baudó,42
Cordillera en Cordillera Malpelo,43
Espolon en Cordillera Malpelo,44
Depresion en Cordillera Malpelo,45
Colinas y lomas en Cordillera Malpelo,46
Valle Submarino en Talúd Baudó,47
Colinas y lomas en Talúd Baudó,48
Hoyo en Talúd Baudó,49
Monte en Cuenca del Pacífico,50
Fondos móviles de grano grueso no carbonatados en Buenaventura,51
Fondos móviles de grano grueso no carbonatados en Baudo,52
Fondos móviles de grano fino no carbonatados en Baudo,53
Fondos móviles de grano fino no carbonatados en Tumaco,54
Manglares en Sanquianga,55
Manglares en Tumaco,56
Sedimentos intermareales en Sanquianga,57
Sedimentos intermareales en Naya,58
Sedimentos intermareales en Buenaventura,59
Sedimentos intermareales en Baudo,60
Sedimentos intermareales en Tumaco,61
Fondos móviles de grano grueso no carbonatados en Tumaco,62
Fondos móviles de grano grueso no carbonatados en Gorgona,63
Fondos móviles de grano grueso carbonatados en Naya,64
Estuarios en Baudo,65
Estuarios en Naya,66
Estuarios en Tumaco,67
Estuarios en Sanquianga,68
Estuarios en Buenaventura,69
Fondos móviles de grano fino no carbonatados en Buenaventura,70
Fondos móviles de grano fino no carbonatados en Gorgona,71
Manglares en Buenaventura,72
Bajo en Cordillera Tayrona,73
Colinas y lomas en Cordillera Tayrona,74
Colinas y lomas en Cuenca Kuiva,75
Monte en Cuenca Kuiva,76
Terrazas y Mesetas en Cordillera Tayrona,77
Fondos móviles de grano grueso no carbonatados en Magdalena,78
Fondos móviles de grano fino no carbonatados en Magdalena,79
Manglares en Magdalena,80
Fondos móviles de grano grueso no carbonatados en Morrosquillo,81
Fondos móviles de grano grueso carbonatados en Magdalena,82
Fondos móviles de grano fino no carbonatados en Morrosquillo,83
Fondos móviles de grano grueso no carbonatados en Archipielagos Coralinos,84
Fondos móviles de grano grueso carbonatados en Morrosquillo,85
Pastos marinos en Morrosquillo,86
Lagunas costeras en Magdalena,87
Pastos marinos en Archipielagos Coralinos,88
Formaciones coralinas en Morrosquillo,89
Depresion en Cordillera Beata,90
Colinas y lomas en Cordillera Beata,91
Escarpe en Talúd Baudó,92
Cuenca en Cuenca del Pacífico,93
Terrazas y Mesetas en Talúd Baudó,94
Fosa en Cuenca del Pacífico,95
Colinas y lomas en Cuenca del Pacífico,96
Fondos móviles de grano grueso no carbonatados en Pacifico Norte,97
Sedimentos intermareales en Pacifico Norte,98
Fondos rocosos en Pacifico Norte,99
Estuarios en Pacifico Norte,100
Fondos móviles de grano fino no carbonatados en Pacifico Norte,101
Colinas y lomas en Talud Caribana,102
Escarpe en Talud Caribana,103
Delta en Talud Caribana,104
Falda continental en Talud Caribana,105
