raster_stack_name,id_original,name,category,grupo
RUNAP_23_mode,1,RUNAP,Distritos Regionales de Manejo Integrado,Áreas protegidas
RUNAP_23_mode,2,RUNAP,Parques Naturales Regionales,Áreas protegidas
RUNAP_23_mode,3,RUNAP,Parque Nacional Natural,Áreas protegidas
RUNAP_23_mode,4,RUNAP,Distritos Nacionales de Manejo Integrado,Áreas protegidas
RUNAP_23_mode,5,RUNAP,Reserva Natural de la Sociedad Civil,Áreas protegidas
RUNAP_23_mode,6,RUNAP,Reservas Forestales Protectoras Regionales,Áreas protegidas
RUNAP_23_mode,7,RUNAP,Santuario de Fauna y Flora,Áreas protegidas
RUNAP_23_mode,8,RUNAP,Reservas Forestales Protectoras Nacionales,Áreas protegidas
RUNAP_23_mode,9,RUNAP,Distritos de Conservacion de Suelos,Áreas protegidas
RUNAP_23_mode,10,RUNAP,Areas de Recreacion,Áreas protegidas
RUNAP_23_mode,11,RUNAP,Reserva Natural,Áreas protegidas
RUNAP_23_mode,12,RUNAP,Santuario de Flora,Áreas protegidas
RUNAP_23_mode,13,RUNAP,Via Parque,Áreas protegidas
RUNAP_23_mode,14,RUNAP,Santuario de Fauna,Áreas protegidas
RUNAP_23_mode,15,RUNAP,Area Natural Unica,Áreas protegidas
