feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13518,0,0.3,0.5314097020205991,0,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,2289.42,1216.62,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,157,NA,NA,0.5627240143369175,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,25.11,14.129999999999999,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4908,NA,NA,0.3291750503018109,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1341.8999999999999,441.71999999999997,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11380,NA,NA,0.5203950978598866,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1968.12,1024.2,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24206,NA,NA,0.35852242431423664,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,6076.44,2178.54,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,84,NA,NA,0.34854771784232363,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,21.689999999999998,7.56,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,241,NA,NA,0.04062025956514411,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,533.97,21.689999999999998,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,459,NA,NA,0.32926829268292684,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,125.46,41.309999999999995,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2644,NA,NA,0.1298114689709348,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1833.12,237.95999999999998,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16607,NA,NA,0.2528009498873531,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,5912.28,1494.6299999999999,ecosystem,NA
