feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13123,0,0.17,0.5158817517100401,0,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,prioritizr_model,2289.42,1181.07,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,3,NA,NA,0.1875,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1.44,0.27,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,107,NA,NA,0.3835125448028674,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,25.11,9.629999999999999,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,296,NA,NA,0.019852448021462105,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1341.8999999999999,26.64,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10427,NA,NA,0.4768154380830437,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1968.12,938.43,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13656,NA,NA,0.20226316724924462,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,6076.44,1229.04,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,60,NA,NA,0.24896265560165975,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,21.689999999999998,5.3999999999999995,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,97,NA,NA,0.016349233102983314,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,533.97,8.73,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,15,NA,NA,0.36585365853658536,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,3.69,1.3499999999999999,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,132,NA,NA,0.09469153515064563,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,125.46,11.879999999999999,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2435,NA,NA,0.11955027494108406,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1833.12,219.15,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,5879,NA,NA,0.08949339341167874,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,5912.28,529.11,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,315,NA,NA,0.17374517374517376,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,163.17,28.349999999999998,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,129,NA,NA,0.06382978723404255,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,181.89,11.61,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,89,NA,NA,0.07752613240418119,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,103.32,8.01,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,889,NA,NA,0.0863693772466725,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,926.37,80.00999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,2005,NA,NA,0.05583402951824004,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,3231.9,180.45,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,7,NA,NA,0.058823529411764705,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,10.709999999999999,0.63,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,84,NA,NA,0.16666666666666666,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,45.36,7.56,ecosystem,NA
Helobioma Chaparral,NA,122,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,10.98,0,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,8,NA,NA,0.42105263157894735,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1.71,0.72,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,583,NA,NA,0.2570546737213404,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,204.12,52.47,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,6,NA,NA,0.0012486992715920915,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,432.45,0.54,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,46,NA,NA,0.06725146198830409,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,61.559999999999995,4.14,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,7,NA,NA,0.008557457212713936,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,73.61999999999999,0.63,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,120,NA,NA,0.009269988412514484,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1165.05,10.799999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,4893,NA,NA,0.39985290512380484,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1101.33,440.37,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,43.92,36.99,ecosystem,NA
