feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13513,0,0.3,0.5312131456875541,0,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,2289.42,1216.1699999999998,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,9,NA,NA,0.5625,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1.44,0.8099999999999999,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,163,NA,NA,0.5842293906810035,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,25.11,14.67,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4913,NA,NA,0.3295103957075788,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1341.8999999999999,442.16999999999996,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11375,NA,NA,0.5201664532650448,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1968.12,1023.75,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24208,NA,NA,0.35855204692221104,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,6076.44,2178.72,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,84,NA,NA,0.34854771784232363,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,21.689999999999998,7.56,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,154,NA,NA,0.025956514410921963,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,533.97,13.86,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,20,NA,NA,0.4878048780487805,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,3.69,1.7999999999999998,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,426,NA,NA,0.30559540889526543,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,125.46,38.339999999999996,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2664,NA,NA,0.1307934014139827,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1833.12,239.76,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16679,NA,NA,0.25389697375631737,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,5912.28,1501.11,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,323,NA,NA,0.17815774958632102,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,163.17,29.07,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,314,NA,NA,0.1553686293913904,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,181.89,28.259999999999998,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,211,NA,NA,0.1837979094076655,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,103.32,18.99,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,935,NA,NA,0.09083843388710774,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,926.37,84.14999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,4403,NA,NA,0.1226120857699805,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,3231.9,396.27,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,35,NA,NA,0.29411764705882354,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,10.709999999999999,3.15,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,102,NA,NA,0.20238095238095238,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,45.36,9.18,ecosystem,NA
Helobioma Chaparral,NA,122,NA,15,NA,NA,0.12295081967213115,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,10.98,1.3499999999999999,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1.71,1.6199999999999999,ecosystem,NA
