feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13122,0,0.3,0.5158424404434311,0,Estr30+HuEC70+RUNAP_IHEH2030,prioritizr_model,2289.42,1180.98,strategic ecosystem,NA
bosque_seco,TRUE,3309,992.6999999999999,993,0,0.3,0.300090661831369,0,Estr30+HuEC70+RUNAP_IHEH2030,prioritizr_model,297.81,89.36999999999999,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+HuEC70+RUNAP_IHEH2030,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr30+HuEC70+RUNAP_IHEH2030,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,140,NA,NA,0.5017921146953405,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,25.11,12.6,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,359,NA,NA,0.024077800134138162,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1341.8999999999999,32.31,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10426,NA,NA,0.47676970916407535,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1968.12,938.3399999999999,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13787,NA,NA,0.20420344807156823,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,6076.44,1240.83,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,158,NA,NA,0.6556016597510373,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,21.689999999999998,14.219999999999999,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,420,NA,NA,0.07079049384796898,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,533.97,37.8,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,444,NA,NA,0.31850789096126253,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,125.46,39.96,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,1828,NA,NA,0.08974862529457973,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1833.12,164.51999999999998,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,5777,NA,NA,0.08794069293064605,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,5912.28,519.93,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,329,NA,NA,0.16279069767441862,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,181.89,29.61,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,398,NA,NA,0.34668989547038326,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,103.32,35.82,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,920,NA,NA,0.08938113280870494,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,926.37,82.8,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,624,NA,NA,0.017376775271512112,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,3231.9,56.16,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,39,NA,NA,0.3277310924369748,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,10.709999999999999,3.51,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,96,NA,NA,0.19047619047619047,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,45.36,8.64,ecosystem,NA
Helobioma Chaparral,NA,122,NA,49,NA,NA,0.4016393442622951,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,10.98,4.41,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,611,NA,NA,0.26940035273368607,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,204.12,54.989999999999995,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,12,NA,NA,0.002497398543184183,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,432.45,1.08,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,44,NA,NA,0.06432748538011696,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,61.559999999999995,3.96,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,41,NA,NA,0.05012224938875306,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,73.61999999999999,3.69,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,130,NA,NA,0.010042487446890692,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1165.05,11.7,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,4896,NA,NA,0.4000980632507968,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1101.33,440.64,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,124.11,0,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,4,NA,NA,0.11764705882352941,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,3.06,0.36,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1660,NA,NA,0.1004781792869681,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1486.8899999999999,149.4,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5884,NA,NA,0.4608035084971415,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1149.21,529.56,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,27,NA,NA,0.01184730144800351,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,205.10999999999999,2.4299999999999997,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,10,NA,NA,0.008818342151675485,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,102.06,0.8999999999999999,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,354,NA,NA,0.05019140791152701,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,634.77,31.86,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,194,NA,NA,0.17962962962962964,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,97.2,17.46,ecosystem,NA
Zonobioma Humedo Tropical Nechí - San Lucas,NA,9737,NA,342,NA,NA,0.03512375474992297,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,876.3299999999999,30.779999999999998,ecosystem,NA
Hidrobioma Magdalena Medio y Depresión Momposina,NA,392,NA,208,NA,NA,0.5306122448979592,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,35.28,18.72,ecosystem,NA
Hidrobioma Nechí - San Lucas,NA,333,NA,260,NA,NA,0.7807807807807807,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,29.97,23.4,ecosystem,NA
Hidrobioma Estribaciones Pacífico Norte,NA,21,NA,11,NA,NA,0.5238095238095238,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1.89,0.99,ecosystem,NA
Orobioma Subandino Nechí - San Lucas,NA,11272,NA,943,NA,NA,0.08365862313697658,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,1014.48,84.86999999999999,ecosystem,NA
Hidrobioma Cauca Alto,NA,117,NA,20,NA,NA,0.17094017094017094,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,10.53,1.7999999999999998,ecosystem,NA
Zonobioma Humedo Tropical Cauca Alto,NA,363,NA,2,NA,NA,0.005509641873278237,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,32.67,0.18,ecosystem,NA
Orobioma Azonal Subandino Cauca Alto,NA,24,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2030,post-hoc,2.16,0,ecosystem,NA
