feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13512,0,0.17,0.531173834420945,0,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,2289.42,1216.08,strategic ecosystem,NA
bosque_seco,TRUE,3309,562.5300000000001,701,0,0.17000000000000004,0.21184647929888184,0,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,297.81,63.089999999999996,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,3,NA,NA,0.1875,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1.44,0.27,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,119,NA,NA,0.4265232974910394,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,25.11,10.709999999999999,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4878,NA,NA,0.3271629778672032,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1341.8999999999999,439.02,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11375,NA,NA,0.5201664532650448,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1968.12,1023.75,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24168,NA,NA,0.35795959476272293,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,6076.44,2175.12,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,82,NA,NA,0.34024896265560167,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,21.689999999999998,7.38,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,77,NA,NA,0.012978257205460982,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,533.97,6.93,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,23,NA,NA,0.5609756097560976,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,3.69,2.07,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,211,NA,NA,0.15136298421807748,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,125.46,18.99,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,1917,NA,NA,0.09411822466614297,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1833.12,172.53,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16165,NA,NA,0.24607258113621142,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,5912.28,1454.85,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,331,NA,NA,0.1825703254274683,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,163.17,29.79,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,254,NA,NA,0.1256803562592776,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,181.89,22.86,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,169,NA,NA,0.14721254355400698,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,103.32,15.209999999999999,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,879,NA,NA,0.08539784319440397,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,926.37,79.11,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,3084,NA,NA,0.0858813700918964,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,3231.9,277.56,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,31,NA,NA,0.2605042016806723,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,10.709999999999999,2.79,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,34,NA,NA,0.06746031746031746,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,45.36,3.06,ecosystem,NA
Helobioma Chaparral,NA,122,NA,13,NA,NA,0.10655737704918032,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,10.98,1.17,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,16,NA,NA,0.8421052631578947,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1.71,1.44,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,804,NA,NA,0.1773268636965152,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,408.06,72.36,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,544,NA,NA,0.23985890652557318,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,204.12,48.96,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1685,NA,NA,0.3506763787721124,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,432.45,151.65,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,344,NA,NA,0.5029239766081871,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,61.559999999999995,30.959999999999997,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,24,NA,NA,0.029339853300733496,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,73.61999999999999,2.16,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2537,NA,NA,0.19598300502124372,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1165.05,228.32999999999998,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,1,NA,NA,0.16666666666666666,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,0.54,0.09,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5663,NA,NA,0.4627768243850617,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1101.33,509.66999999999996,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,1,NA,NA,0.029411764705882353,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,3.06,0.09,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1651,NA,NA,0.09993341807396647,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1486.8899999999999,148.59,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5884,NA,NA,0.4608035084971415,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1149.21,529.56,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,29,NA,NA,0.012724879333040808,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,205.10999999999999,2.61,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,292,NA,NA,0.25749559082892415,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,102.06,26.279999999999998,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,284,NA,NA,0.040266553239756135,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,634.77,25.56,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,147,NA,NA,0.1361111111111111,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,97.2,13.229999999999999,ecosystem,NA
