feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13133,0,0.17,0.5162748643761302,0,Estr17+HuEC100+RUNAP_IHEH2030,prioritizr_model,2289.42,1181.97,strategic ecosystem,NA
bosque_seco,TRUE,3309,562.5300000000001,563,0,0.17000000000000004,0.17014203686914475,0,Estr17+HuEC100+RUNAP_IHEH2030,prioritizr_model,297.81,50.669999999999995,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+HuEC100+RUNAP_IHEH2030,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr17+HuEC100+RUNAP_IHEH2030,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr17+HuEC100+RUNAP_IHEH2030,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,107,NA,NA,0.3835125448028674,NA,Estr17+HuEC100+RUNAP_IHEH2030,post-hoc,25.11,9.629999999999999,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,308,NA,NA,0.020657276995305163,NA,Estr17+HuEC100+RUNAP_IHEH2030,post-hoc,1341.8999999999999,27.72,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10437,NA,NA,0.4772727272727273,NA,Estr17+HuEC100+RUNAP_IHEH2030,post-hoc,1968.12,939.3299999999999,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP_IHEH2030,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13764,NA,NA,0.20386278807986255,NA,Estr17+HuEC100+RUNAP_IHEH2030,post-hoc,6076.44,1238.76,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,128,NA,NA,0.5311203319502075,NA,Estr17+HuEC100+RUNAP_IHEH2030,post-hoc,21.689999999999998,11.52,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,101,NA,NA,0.01702342828248778,NA,Estr17+HuEC100+RUNAP_IHEH2030,post-hoc,533.97,9.09,ecosystem,NA
