feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13508,0,0.17,0.531016589354509,0,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,2289.42,1215.72,strategic ecosystem,NA
bosque_seco,TRUE,3309,562.5300000000001,711,0,0.17000000000000004,0.21486854034451497,0,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,297.81,63.989999999999995,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,3,NA,NA,0.1875,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.44,0.27,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,116,NA,NA,0.4157706093189964,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,25.11,10.44,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4877,NA,NA,0.3270959087860496,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1341.8999999999999,438.93,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11371,NA,NA,0.5199835375891714,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1968.12,1023.39,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24171,NA,NA,0.3580040286746845,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,6076.44,2175.39,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,83,NA,NA,0.34439834024896265,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,21.689999999999998,7.47,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,134,NA,NA,0.02258553851339963,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,533.97,12.059999999999999,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,24,NA,NA,0.5853658536585366,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3.69,2.16,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,223,NA,NA,0.1599713055954089,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,125.46,20.07,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,1988,NA,NA,0.09760408483896307,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1833.12,178.92,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16216,NA,NA,0.24684893137672775,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,5912.28,1459.44,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,331,NA,NA,0.1825703254274683,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,163.17,29.79,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,259,NA,NA,0.12815437902028698,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,181.89,23.31,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,168,NA,NA,0.14634146341463414,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,103.32,15.12,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,882,NA,NA,0.08568930341008453,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,926.37,79.38,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,3334,NA,NA,0.09284321915900863,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3231.9,300.06,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,37,NA,NA,0.31092436974789917,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.709999999999999,3.33,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,34,NA,NA,0.06746031746031746,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,45.36,3.06,ecosystem,NA
Helobioma Chaparral,NA,122,NA,13,NA,NA,0.10655737704918032,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.98,1.17,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,16,NA,NA,0.8421052631578947,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.71,1.44,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,804,NA,NA,0.1773268636965152,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,408.06,72.36,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,544,NA,NA,0.23985890652557318,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,204.12,48.96,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1690,NA,NA,0.3517169614984391,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,432.45,152.1,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,346,NA,NA,0.5058479532163743,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,61.559999999999995,31.14,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,24,NA,NA,0.029339853300733496,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,73.61999999999999,2.16,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2588,NA,NA,0.19992275009656238,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1165.05,232.92,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,1,NA,NA,0.16666666666666666,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.54,0.09,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5663,NA,NA,0.4627768243850617,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1101.33,509.66999999999996,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,1,NA,NA,0.029411764705882353,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3.06,0.09,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1651,NA,NA,0.09993341807396647,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1486.8899999999999,148.59,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5884,NA,NA,0.4608035084971415,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1149.21,529.56,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,29,NA,NA,0.012724879333040808,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,205.10999999999999,2.61,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,292,NA,NA,0.25749559082892415,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,102.06,26.279999999999998,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,288,NA,NA,0.040833687792428755,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,634.77,25.919999999999998,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,98,NA,NA,0.09074074074074075,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,97.2,8.82,ecosystem,NA
Zonobioma Humedo Tropical Nechí - San Lucas,NA,9737,NA,1033,NA,NA,0.10609017151073226,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,876.3299999999999,92.97,ecosystem,NA
Hidrobioma Magdalena Medio y Depresión Momposina,NA,392,NA,129,NA,NA,0.32908163265306123,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,35.28,11.61,ecosystem,NA
Hidrobioma Nechí - San Lucas,NA,333,NA,204,NA,NA,0.6126126126126126,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,29.97,18.36,ecosystem,NA
Hidrobioma Estribaciones Pacífico Norte,NA,21,NA,2,NA,NA,0.09523809523809523,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.89,0.18,ecosystem,NA
Orobioma Subandino Nechí - San Lucas,NA,11272,NA,2189,NA,NA,0.19419801277501775,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1014.48,197.01,ecosystem,NA
Hidrobioma Cauca Alto,NA,117,NA,105,NA,NA,0.8974358974358975,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.53,9.45,ecosystem,NA
