feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13513,0,0.3,0.5312131456875541,0,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,2289.42,1216.1699999999998,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,9,NA,NA,0.5625,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.44,0.8099999999999999,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,166,NA,NA,0.5949820788530465,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,25.11,14.94,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4914,NA,NA,0.3295774647887324,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1341.8999999999999,442.26,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11375,NA,NA,0.5201664532650448,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1968.12,1023.75,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24202,NA,NA,0.3584631790982878,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,6076.44,2178.18,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,84,NA,NA,0.34854771784232363,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,21.689999999999998,7.56,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,111,NA,NA,0.018708916231248946,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,533.97,9.99,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,20,NA,NA,0.4878048780487805,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3.69,1.7999999999999998,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,434,NA,NA,0.3113342898134864,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,125.46,39.059999999999995,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2605,NA,NA,0.12789670070699136,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1833.12,234.45,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16636,NA,NA,0.2532424039456859,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,5912.28,1497.24,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,323,NA,NA,0.17815774958632102,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,163.17,29.07,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,314,NA,NA,0.1553686293913904,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,181.89,28.259999999999998,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,217,NA,NA,0.18902439024390244,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,103.32,19.529999999999998,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,936,NA,NA,0.0909355872923346,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,926.37,84.24,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,4119,NA,NA,0.11470342522974102,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3231.9,370.71,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,29,NA,NA,0.24369747899159663,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.709999999999999,2.61,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,104,NA,NA,0.20634920634920634,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,45.36,9.36,ecosystem,NA
Helobioma Chaparral,NA,122,NA,15,NA,NA,0.12295081967213115,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.98,1.3499999999999999,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,600,NA,NA,0.26455026455026454,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,204.12,54,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1685,NA,NA,0.3506763787721124,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,432.45,151.65,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,343,NA,NA,0.5014619883040936,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,61.559999999999995,30.869999999999997,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,22,NA,NA,0.02689486552567237,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,73.61999999999999,1.98,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2537,NA,NA,0.19598300502124372,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1165.05,228.32999999999998,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5666,NA,NA,0.4630219825120536,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1101.33,509.94,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,4,NA,NA,0.11764705882352941,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3.06,0.36,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1686,NA,NA,0.10205193390230616,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1486.8899999999999,151.73999999999998,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5897,NA,NA,0.46182159918552745,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1149.21,530.73,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,30,NA,NA,0.013163668275559455,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,205.10999999999999,2.6999999999999997,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,301,NA,NA,0.2654320987654321,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,102.06,27.09,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,618,NA,NA,0.08762228838792004,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,634.77,55.62,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,1002,NA,NA,0.9277777777777778,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,97.2,90.17999999999999,ecosystem,NA
Zonobioma Humedo Tropical Nechí - San Lucas,NA,9737,NA,1079,NA,NA,0.11081441922563418,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,876.3299999999999,97.11,ecosystem,NA
Hidrobioma Magdalena Medio y Depresión Momposina,NA,392,NA,330,NA,NA,0.8418367346938775,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,35.28,29.7,ecosystem,NA
Hidrobioma Nechí - San Lucas,NA,333,NA,284,NA,NA,0.8528528528528528,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,29.97,25.56,ecosystem,NA
Hidrobioma Estribaciones Pacífico Norte,NA,21,NA,15,NA,NA,0.7142857142857143,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.89,1.3499999999999999,ecosystem,NA
Orobioma Subandino Nechí - San Lucas,NA,11272,NA,2222,NA,NA,0.19712562100780695,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1014.48,199.98,ecosystem,NA
Hidrobioma Cauca Alto,NA,117,NA,108,NA,NA,0.9230769230769231,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.53,9.719999999999999,ecosystem,NA
Zonobioma Humedo Tropical Cauca Alto,NA,363,NA,12,NA,NA,0.03305785123966942,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,32.67,1.08,ecosystem,NA
Orobioma Azonal Subandino Cauca Alto,NA,24,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.16,0,ecosystem,NA
Orobioma de Paramo Estribaciones Pacífico Norte,NA,1665,NA,772,NA,NA,0.4636636636636637,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,149.85,69.48,ecosystem,NA
Zonobioma Alternohigrico Tropical Magdalena Medio y Depresión Momposina,NA,380,NA,34,NA,NA,0.08947368421052632,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,34.199999999999996,3.06,ecosystem,NA
Helobioma Nechí - San Lucas,NA,25,NA,25,NA,NA,1,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.25,2.25,ecosystem,NA
Peinobioma Magdalena Medio y Depresión Momposina,NA,32,NA,11,NA,NA,0.34375,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.88,0.99,ecosystem,NA
Peinobioma Nechí - San Lucas,NA,23,NA,1,NA,NA,0.043478260869565216,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.07,0.09,ecosystem,NA
Orobioma Andino Nechí - San Lucas,NA,870,NA,420,NA,NA,0.4827586206896552,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,78.3,37.8,ecosystem,NA
Hidrobioma Cordillera Oriental Magdalena Medio,NA,5,NA,5,NA,NA,1,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.44999999999999996,0.44999999999999996,ecosystem,NA
Zonobioma Alternohigrico Tropical Cordillera Oriental Magdalena Medio,NA,8,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.72,0,ecosystem,NA
Helobioma Cordillera Oriental Magdalena Medio,NA,5,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.44999999999999996,0,ecosystem,NA
