feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13136,0,0.3,0.5163927981759572,0,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,prioritizr_model,2289.42,1182.24,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,140,NA,NA,0.5017921146953405,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,25.11,12.6,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,359,NA,NA,0.024077800134138162,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1341.8999999999999,32.31,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10439,NA,NA,0.477364185110664,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1968.12,939.51,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13793,NA,NA,0.20429231589549143,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,6076.44,1241.37,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,158,NA,NA,0.6556016597510373,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,21.689999999999998,14.219999999999999,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,423,NA,NA,0.07129614023259734,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,533.97,38.07,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,447,NA,NA,0.3206599713055954,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,125.46,40.23,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2525,NA,NA,0.12396897093479968,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1833.12,227.25,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,6170,NA,NA,0.09392315654874261,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,5912.28,555.3,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,355,NA,NA,0.1756556160316675,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,181.89,31.95,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,406,NA,NA,0.35365853658536583,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,103.32,36.54,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,965,NA,NA,0.09375303604391334,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,926.37,86.85,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,2091,NA,NA,0.05822890559732665,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,3231.9,188.19,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,40,NA,NA,0.33613445378151263,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,10.709999999999999,3.5999999999999996,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,98,NA,NA,0.19444444444444445,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,45.36,8.82,ecosystem,NA
Helobioma Chaparral,NA,122,NA,49,NA,NA,0.4016393442622951,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,10.98,4.41,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,611,NA,NA,0.26940035273368607,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,204.12,54.989999999999995,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC100+RUNAP_IHEH2030,post-hoc,2.34,0,ecosystem,NA
