feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13513,0,0.3,0.5312131456875541,0,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,2289.42,1216.1699999999998,strategic ecosystem,NA
bosque_seco,TRUE,3309,992.6999999999999,994,0,0.3,0.3003928679359323,0,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,297.81,89.46,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,9,NA,NA,0.5625,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1.44,0.8099999999999999,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,167,NA,NA,0.5985663082437276,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,25.11,15.03,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4914,NA,NA,0.3295774647887324,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1341.8999999999999,442.26,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11375,NA,NA,0.5201664532650448,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1968.12,1023.75,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24207,NA,NA,0.3585372356182238,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,6076.44,2178.63,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,84,NA,NA,0.34854771784232363,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,21.689999999999998,7.56,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,132,NA,NA,0.022248440923647396,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,533.97,11.879999999999999,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,21,NA,NA,0.5121951219512195,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,3.69,1.89,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,458,NA,NA,0.3285509325681492,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,125.46,41.22,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,1995,NA,NA,0.09794776119402986,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1833.12,179.54999999999998,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16371,NA,NA,0.24920842720574804,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,5912.28,1473.3899999999999,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,323,NA,NA,0.17815774958632102,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,163.17,29.07,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,289,NA,NA,0.14299851558634338,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,181.89,26.009999999999998,ecosystem,NA
