feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13507,0,0.17,0.5309772780879,0,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,2289.42,1215.6299999999999,strategic ecosystem,NA
bosque_seco,TRUE,3309,562.5300000000001,700,0,0.17000000000000004,0.21154427319431854,0,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,297.81,63,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,2,NA,NA,0.125,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1.44,0.18,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,129,NA,NA,0.46236559139784944,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,25.11,11.61,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4887,NA,NA,0.32776659959758553,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1341.8999999999999,439.83,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11369,NA,NA,0.5198920797512346,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1968.12,1023.2099999999999,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24159,NA,NA,0.3578262930268381,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,6076.44,2174.31,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,82,NA,NA,0.34024896265560167,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,21.689999999999998,7.38,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,117,NA,NA,0.019720209000505647,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,533.97,10.53,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,14,NA,NA,0.34146341463414637,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,3.69,1.26,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,199,NA,NA,0.14275466284074606,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,125.46,17.91,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,1978,NA,NA,0.09711311861743913,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1833.12,178.01999999999998,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16184,NA,NA,0.2463618096571881,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,5912.28,1456.56,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,315,NA,NA,0.17374517374517376,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,163.17,28.349999999999998,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,259,NA,NA,0.12815437902028698,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,181.89,23.31,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,137,NA,NA,0.11933797909407666,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,103.32,12.33,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,868,NA,NA,0.08432915573690858,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,926.37,78.11999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,3298,NA,NA,0.09184071289334447,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,3231.9,296.82,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,35,NA,NA,0.29411764705882354,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,10.709999999999999,3.15,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,38,NA,NA,0.07539682539682539,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,45.36,3.42,ecosystem,NA
Helobioma Chaparral,NA,122,NA,13,NA,NA,0.10655737704918032,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,10.98,1.17,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,8,NA,NA,0.42105263157894735,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1.71,0.72,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,804,NA,NA,0.1773268636965152,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,408.06,72.36,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,531,NA,NA,0.23412698412698413,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,204.12,47.79,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1689,NA,NA,0.3515088449531738,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,432.45,152.01,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,345,NA,NA,0.5043859649122807,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,61.559999999999995,31.049999999999997,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,22,NA,NA,0.02689486552567237,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,73.61999999999999,1.98,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2589,NA,NA,0.2,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1165.05,233.01,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5662,NA,NA,0.46269510500939776,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1101.33,509.58,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,2,NA,NA,0.058823529411764705,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,3.06,0.18,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1644,NA,NA,0.09950971490829853,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1486.8899999999999,147.96,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5884,NA,NA,0.4608035084971415,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1149.21,529.56,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,30,NA,NA,0.013163668275559455,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,205.10999999999999,2.6999999999999997,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,291,NA,NA,0.2566137566137566,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,102.06,26.189999999999998,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,308,NA,NA,0.04366936055579186,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,634.77,27.72,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,286,NA,NA,0.26481481481481484,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,97.2,25.74,ecosystem,NA
Zonobioma Humedo Tropical Nechí - San Lucas,NA,9737,NA,1027,NA,NA,0.1054739652870494,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,876.3299999999999,92.42999999999999,ecosystem,NA
Hidrobioma Magdalena Medio y Depresión Momposina,NA,392,NA,140,NA,NA,0.35714285714285715,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,35.28,12.6,ecosystem,NA
Hidrobioma Nechí - San Lucas,NA,333,NA,195,NA,NA,0.5855855855855856,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,29.97,17.55,ecosystem,NA
Hidrobioma Estribaciones Pacífico Norte,NA,21,NA,2,NA,NA,0.09523809523809523,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1.89,0.18,ecosystem,NA
Orobioma Subandino Nechí - San Lucas,NA,11272,NA,2193,NA,NA,0.19455287437899219,NA,Estr17+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1014.48,197.37,ecosystem,NA
