feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13119,0,0.17,0.515724506643604,0,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,prioritizr_model,2289.42,1180.71,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,107,NA,NA,0.3835125448028674,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,25.11,9.629999999999999,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,308,NA,NA,0.020657276995305163,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,1341.8999999999999,27.72,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10424,NA,NA,0.47667825132613867,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,1968.12,938.16,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13758,NA,NA,0.20377392025593932,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,6076.44,1238.22,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,128,NA,NA,0.5311203319502075,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,21.689999999999998,11.52,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,103,NA,NA,0.017360525872240015,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,533.97,9.27,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,142,NA,NA,0.10186513629842181,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,125.46,12.78,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2412,NA,NA,0.11842105263157894,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,1833.12,217.07999999999998,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,5898,NA,NA,0.08978262193265542,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,5912.28,530.8199999999999,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,138,NA,NA,0.06828302820385948,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,181.89,12.42,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,216,NA,NA,0.18815331010452963,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,103.32,19.439999999999998,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,910,NA,NA,0.08840959875643642,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,926.37,81.89999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,1689,NA,NA,0.04703425229741019,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,3231.9,152.01,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,24,NA,NA,0.20168067226890757,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,10.709999999999999,2.16,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,96,NA,NA,0.19047619047619047,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,45.36,8.64,ecosystem,NA
Helobioma Chaparral,NA,122,NA,40,NA,NA,0.32786885245901637,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,10.98,3.5999999999999996,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,611,NA,NA,0.26940035273368607,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,204.12,54.989999999999995,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,10,NA,NA,0.002081165452653486,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,432.45,0.8999999999999999,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,52,NA,NA,0.07602339181286549,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,61.559999999999995,4.68,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,23,NA,NA,0.028117359413202935,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,73.61999999999999,2.07,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,113,NA,NA,0.00872923908845114,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,1165.05,10.17,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,4896,NA,NA,0.4000980632507968,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,1101.33,440.64,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,124.11,0,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr17+Bs100+HuEC70+RUNAP_IHEH2030,post-hoc,5.3999999999999995,0.09,ecosystem,NA
