feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,12719,13518,0,0.5,0.5314097020205991,0,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,2289.42,1216.62,strategic ecosystem,NA
bosque_seco,TRUE,3309,1654.5,1655,0,0.5,0.5001511030522816,0,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,297.81,148.95,strategic ecosystem,NA
humedales,TRUE,16078,8039,8039,0,0.5,0.5,0,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,1447.02,723.51,strategic ecosystem,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,196,NA,NA,0.7025089605734767,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,25.11,17.64,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4934,NA,NA,0.33091884641180414,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1341.8999999999999,444.06,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11379,NA,NA,0.5203493689409182,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1968.12,1024.11,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24268,NA,NA,0.3594407251614432,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,6076.44,2184.12,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,90,NA,NA,0.37344398340248963,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,21.689999999999998,8.1,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,1128,NA,NA,0.19012304062025956,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,533.97,101.52,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,937,NA,NA,0.6721664275466284,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,125.46,84.33,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2484,NA,NA,0.12195600942655145,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1833.12,223.56,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16667,NA,NA,0.25371430311148996,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,5912.28,1500.03,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,349,NA,NA,0.19249862107004964,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,163.17,31.41,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,339,NA,NA,0.16773874319643742,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,181.89,30.509999999999998,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,715,NA,NA,0.622822299651568,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,103.32,64.35,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,1087,NA,NA,0.10560575148158943,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,926.37,97.83,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,3846,NA,NA,0.10710108604845447,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3231.9,346.14,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,64,NA,NA,0.5378151260504201,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.709999999999999,5.76,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,57,NA,NA,0.1130952380952381,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,45.36,5.13,ecosystem,NA
Helobioma Chaparral,NA,122,NA,38,NA,NA,0.3114754098360656,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.98,3.42,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,805,NA,NA,0.17754741949713276,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,408.06,72.45,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,561,NA,NA,0.24735449735449735,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,204.12,50.489999999999995,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1694,NA,NA,0.35254942767950054,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,432.45,152.46,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,348,NA,NA,0.5087719298245614,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,61.559999999999995,31.32,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,57,NA,NA,0.06968215158924206,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,73.61999999999999,5.13,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2615,NA,NA,0.20200849748937813,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1165.05,235.35,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,1,NA,NA,0.16666666666666666,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.54,0.09,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5665,NA,NA,0.46294026313638964,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1101.33,509.84999999999997,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,43.92,36.99,ecosystem,NA
