feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13518,0,0.3,0.5314097020205991,0,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,2289.42,1216.62,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,156,NA,NA,0.5591397849462365,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,25.11,14.04,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4909,NA,NA,0.32924211938296444,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1341.8999999999999,441.81,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11380,NA,NA,0.5203950978598866,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1968.12,1024.2,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24207,NA,NA,0.3585372356182238,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,6076.44,2178.63,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,85,NA,NA,0.35269709543568467,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,21.689999999999998,7.6499999999999995,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,307,NA,NA,0.051744480026967805,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,533.97,27.63,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,446,NA,NA,0.3199426111908178,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,125.46,40.14,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2709,NA,NA,0.13300274941084053,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1833.12,243.81,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16639,NA,NA,0.25328807160689276,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,5912.28,1497.51,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,302,NA,NA,0.14943097476496783,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,181.89,27.18,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,223,NA,NA,0.19425087108013936,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,103.32,20.07,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,938,NA,NA,0.09112989410278831,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,926.37,84.42,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,4445,NA,NA,0.12378167641325535,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3231.9,400.05,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,38,NA,NA,0.31932773109243695,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.709999999999999,3.42,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,88,NA,NA,0.1746031746031746,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,45.36,7.92,ecosystem,NA
Helobioma Chaparral,NA,122,NA,13,NA,NA,0.10655737704918032,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.98,1.17,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,608,NA,NA,0.26807760141093473,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,204.12,54.72,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1692,NA,NA,0.3521331945889698,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,432.45,152.28,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,346,NA,NA,0.5058479532163743,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,61.559999999999995,31.14,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,27,NA,NA,0.03300733496332518,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,73.61999999999999,2.4299999999999997,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2591,NA,NA,0.20015449980687525,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1165.05,233.19,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,1,NA,NA,0.16666666666666666,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.54,0.09,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5667,NA,NA,0.4631037018877176,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1101.33,510.03,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,4,NA,NA,0.11764705882352941,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3.06,0.36,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1683,NA,NA,0.10187034683130561,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1486.8899999999999,151.47,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5897,NA,NA,0.46182159918552745,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1149.21,530.73,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,30,NA,NA,0.013163668275559455,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,205.10999999999999,2.6999999999999997,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,298,NA,NA,0.26278659611992944,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,102.06,26.82,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,527,NA,NA,0.0747199773146179,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,634.77,47.43,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,861,NA,NA,0.7972222222222223,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,97.2,77.49,ecosystem,NA
Zonobioma Humedo Tropical Nechí - San Lucas,NA,9737,NA,1076,NA,NA,0.11050631611379275,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,876.3299999999999,96.84,ecosystem,NA
Hidrobioma Magdalena Medio y Depresión Momposina,NA,392,NA,293,NA,NA,0.7474489795918368,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,35.28,26.369999999999997,ecosystem,NA
Hidrobioma Nechí - San Lucas,NA,333,NA,279,NA,NA,0.8378378378378378,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,29.97,25.11,ecosystem,NA
Hidrobioma Estribaciones Pacífico Norte,NA,21,NA,15,NA,NA,0.7142857142857143,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.89,1.3499999999999999,ecosystem,NA
Orobioma Subandino Nechí - San Lucas,NA,11272,NA,2221,NA,NA,0.19703690560681333,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1014.48,199.89,ecosystem,NA
Hidrobioma Cauca Alto,NA,117,NA,108,NA,NA,0.9230769230769231,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.53,9.719999999999999,ecosystem,NA
Zonobioma Humedo Tropical Cauca Alto,NA,363,NA,12,NA,NA,0.03305785123966942,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,32.67,1.08,ecosystem,NA
Orobioma Azonal Subandino Cauca Alto,NA,24,NA,0,NA,NA,0,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,2.16,0,ecosystem,NA
Orobioma de Paramo Estribaciones Pacífico Norte,NA,1665,NA,772,NA,NA,0.4636636636636637,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,149.85,69.48,ecosystem,NA
Zonobioma Alternohigrico Tropical Magdalena Medio y Depresión Momposina,NA,380,NA,33,NA,NA,0.0868421052631579,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,34.199999999999996,2.9699999999999998,ecosystem,NA
Helobioma Nechí - San Lucas,NA,25,NA,23,NA,NA,0.92,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,2.25,2.07,ecosystem,NA
Peinobioma Magdalena Medio y Depresión Momposina,NA,32,NA,11,NA,NA,0.34375,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,2.88,0.99,ecosystem,NA
Peinobioma Nechí - San Lucas,NA,23,NA,1,NA,NA,0.043478260869565216,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,2.07,0.09,ecosystem,NA
Orobioma Andino Nechí - San Lucas,NA,870,NA,420,NA,NA,0.4827586206896552,NA,Estr30+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,78.3,37.8,ecosystem,NA
