feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13508,0,0.17,0.531016589354509,0,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,2289.42,1215.72,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,3,NA,NA,0.1875,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1.44,0.27,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,113,NA,NA,0.4050179211469534,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,25.11,10.17,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4876,NA,NA,0.32702883970489605,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1341.8999999999999,438.84,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11371,NA,NA,0.5199835375891714,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,1968.12,1023.39,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24167,NA,NA,0.3579447834587357,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,6076.44,2175.0299999999997,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,82,NA,NA,0.34024896265560167,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,21.689999999999998,7.38,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,134,NA,NA,0.02258553851339963,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2022,post-hoc,533.97,12.059999999999999,ecosystem,NA
