feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13508,0,0.17,0.531016589354509,0,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,2289.42,1215.72,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,3,NA,NA,0.1875,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.44,0.27,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,107,NA,NA,0.3835125448028674,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,25.11,9.629999999999999,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4876,NA,NA,0.32702883970489605,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1341.8999999999999,438.84,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11371,NA,NA,0.5199835375891714,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1968.12,1023.39,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24170,NA,NA,0.35798921737069733,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,6076.44,2175.2999999999997,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,82,NA,NA,0.34024896265560167,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,21.689999999999998,7.38,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,179,NA,NA,0.03017023428282488,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,533.97,16.11,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,24,NA,NA,0.5853658536585366,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3.69,2.16,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,238,NA,NA,0.17073170731707318,NA,Estr17+Bs100+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,125.46,21.419999999999998,ecosystem,NA
