feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13135,0,0.17,0.5163534869093482,0,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,prioritizr_model,2289.42,1182.1499999999999,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,86,NA,NA,0.30824372759856633,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,25.11,7.739999999999999,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,303,NA,NA,0.020321931589537223,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,1341.8999999999999,27.27,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10439,NA,NA,0.477364185110664,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,1968.12,939.51,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13704,NA,NA,0.20297410984063036,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,6076.44,1233.36,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,68,NA,NA,0.2821576763485477,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,21.689999999999998,6.12,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,99,NA,NA,0.016686330692735545,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,533.97,8.91,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,369,NA,NA,0.2647058823529412,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,125.46,33.21,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2440,NA,NA,0.11979575805184603,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,1833.12,219.6,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,5876,NA,NA,0.0894477257504719,NA,Estr17+Bs100+HuEC100+RUNAP_IHEH2022,post-hoc,5912.28,528.84,ecosystem,NA
