feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13520,0,0.3,0.5314883245538171,0,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,2289.42,1216.8,strategic ecosystem,NA
bosque_seco,TRUE,3309,992.6999999999999,993,0,0.3,0.300090661831369,0,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,297.81,89.36999999999999,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,179,NA,NA,0.6415770609318996,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,25.11,16.11,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4936,NA,NA,0.3310529845741113,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1341.8999999999999,444.24,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11381,NA,NA,0.520440826778855,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1968.12,1024.29,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24264,NA,NA,0.3593814799454944,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,6076.44,2183.7599999999998,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,118,NA,NA,0.4896265560165975,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,21.689999999999998,10.62,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,178,NA,NA,0.03000168548794876,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,533.97,16.02,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,604,NA,NA,0.4332855093256815,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,125.46,54.36,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2069,NA,NA,0.10158091123330715,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1833.12,186.20999999999998,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16305,NA,NA,0.24820373865919745,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,5912.28,1467.45,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,452,NA,NA,0.22365165759524988,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,181.89,40.68,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,648,NA,NA,0.5644599303135889,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,103.32,58.32,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,935,NA,NA,0.09083843388710774,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,926.37,84.14999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,3451,NA,NA,0.09610136452241716,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3231.9,310.59,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,54,NA,NA,0.453781512605042,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.709999999999999,4.859999999999999,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,75,NA,NA,0.1488095238095238,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,45.36,6.75,ecosystem,NA
Helobioma Chaparral,NA,122,NA,34,NA,NA,0.2786885245901639,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.98,3.06,ecosystem,NA
