feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,12719,13137,0,0.5,0.5164321094425662,0,Estr50+HuEC100+RUNAP_IHEH2022,prioritizr_model,2289.42,1182.33,strategic ecosystem,NA
bosque_seco,TRUE,3309,1654.5,1655,0,0.5,0.5001511030522816,0,Estr50+HuEC100+RUNAP_IHEH2022,prioritizr_model,297.81,148.95,strategic ecosystem,NA
humedales,TRUE,16078,8039,8039,0,0.5,0.5,0,Estr50+HuEC100+RUNAP_IHEH2022,prioritizr_model,1447.02,723.51,strategic ecosystem,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr50+HuEC100+RUNAP_IHEH2022,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,166,NA,NA,0.5949820788530465,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,25.11,14.94,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,373,NA,NA,0.025016767270288398,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,1341.8999999999999,33.57,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10440,NA,NA,0.47740991402963234,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,1968.12,939.5999999999999,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13796,NA,NA,0.20433674980745306,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,6076.44,1241.6399999999999,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,139,NA,NA,0.5767634854771784,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,21.689999999999998,12.51,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,1221,NA,NA,0.2057980785437384,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,533.97,109.89,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,778,NA,NA,0.5581061692969871,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,125.46,70.02,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2087,NA,NA,0.10246465043205027,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,1833.12,187.82999999999998,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,5891,NA,NA,0.08967606405650612,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,5912.28,530.1899999999999,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,832,NA,NA,0.41167738743196436,NA,Estr50+HuEC100+RUNAP_IHEH2022,post-hoc,181.89,74.88,ecosystem,NA
