feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,9289,1579.13,6947,0,0.17,0.7478738292604156,0,Estr17+Cong17+Sab17+RUNAP_IHEH2022,prioritizr_model,2322.249999999999,1736.7499999999993,strategic ecosystem,NA
bosque_seco,TRUE,12116,2059.7200000000003,2060,0,0.17,0.17002310993727301,0,Estr17+Cong17+Sab17+RUNAP_IHEH2022,prioritizr_model,3028.999999999999,514.9999999999998,strategic ecosystem,NA
humedales,TRUE,480938,81759.46,81823,0,0.17,0.1701321168217109,0,Estr17+Cong17+Sab17+RUNAP_IHEH2022,prioritizr_model,120234.49999999996,20455.749999999993,strategic ecosystem,NA
congriales,TRUE,1473,250.41000000000003,620,0,0.17,0.42090970807875083,0,Estr17+Cong17+Sab17+RUNAP_IHEH2022,prioritizr_model,368.2499999999999,154.99999999999994,NA,NA
savannas,TRUE,588725,100083.25,100084,0,0.17,0.17000127393944542,0,Estr17+Cong17+Sab17+RUNAP_IHEH2022,prioritizr_model,147181.24999999994,25020.999999999993,NA,NA
Zonobioma Humedo Tropical Yarí - Chiribiquete,NA,3202,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,800.4999999999998,0,ecosystem,NA
Peinobioma Yarí - Chiribiquete,NA,12,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,2.999999999999999,0,ecosystem,NA
Helobioma Yarí - Chiribiquete,NA,207,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,51.749999999999986,0,ecosystem,NA
Hidrobioma Huila - Caquetá,NA,2,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,0.49999999999999983,0,ecosystem,NA
Hidrobioma Macarena,NA,497,NA,176,NA,NA,0.35412474849094566,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,124.24999999999996,43.999999999999986,ecosystem,NA
Helobioma Macarena,NA,2438,NA,1092,NA,NA,0.4479081214109926,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,609.4999999999998,272.9999999999999,ecosystem,NA
Zonobioma Humedo Tropical Picachos,NA,3251,NA,1427,NA,NA,0.4389418640418333,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,812.7499999999998,356.7499999999999,ecosystem,NA
Zonobioma Humedo Tropical Macarena,NA,27255,NA,12825,NA,NA,0.4705558613098514,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,6813.749999999998,3206.249999999999,ecosystem,NA
Orobioma Subandino Huila - Caquetá,NA,735,NA,705,NA,NA,0.9591836734693877,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,183.74999999999994,176.24999999999994,ecosystem,NA
Orobioma Andino Huila - Caquetá,NA,2251,NA,1205,NA,NA,0.5353176366059529,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,562.7499999999998,301.2499999999999,ecosystem,NA
Helobioma Picachos,NA,124,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,30.99999999999999,0,ecosystem,NA
Hidrobioma Picachos,NA,101,NA,19,NA,NA,0.18811881188118812,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,25.249999999999993,4.749999999999998,ecosystem,NA
Orobioma Subandino Picachos,NA,7928,NA,2680,NA,NA,0.33804238143289606,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,1981.9999999999993,669.9999999999998,ecosystem,NA
Peinobioma Macarena,NA,488,NA,265,NA,NA,0.5430327868852459,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,121.99999999999996,66.24999999999997,ecosystem,NA
Orobioma Subandino Altoandino Cordillera Oriental,NA,26,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,6.499999999999998,0,ecosystem,NA
Orobioma Subandino Macarena,NA,5886,NA,3769,NA,NA,0.6403329935440027,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,1471.4999999999995,942.2499999999997,ecosystem,NA
Orobioma Andino Picachos,NA,4610,NA,1631,NA,NA,0.3537960954446855,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,1152.4999999999995,407.7499999999999,ecosystem,NA
Orobioma de Paramo Huila - Caquetá,NA,329,NA,304,NA,NA,0.9240121580547113,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,82.24999999999997,75.99999999999997,ecosystem,NA
Orobioma de Paramo Altoandino Cordillera Oriental,NA,4993,NA,2998,NA,NA,0.6004406168636091,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,1248.2499999999995,749.4999999999998,ecosystem,NA
Hidrobioma Altoandino Cordillera Oriental,NA,28,NA,13,NA,NA,0.4642857142857143,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,6.999999999999997,3.249999999999999,ecosystem,NA
Helobioma Altillanura,NA,102557,NA,15231,NA,NA,0.14851253449301363,NA,Estr17+Cong17+Sab17+RUNAP_IHEH2022,post-hoc,25639.249999999993,3807.7499999999986,ecosystem,NA
