feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,9289,1579.13,6934,0,0.17,0.746474324469803,0,Estr17+Cong17+Sab30+RUNAP_IHEH2030,prioritizr_model,2322.249999999999,1733.4999999999993,strategic ecosystem,NA
bosque_seco,TRUE,12116,2059.7200000000003,2060,0,0.17,0.17002310993727301,0,Estr17+Cong17+Sab30+RUNAP_IHEH2030,prioritizr_model,3028.999999999999,514.9999999999998,strategic ecosystem,NA
humedales,TRUE,480938,81759.46,106376,0,0.17,0.22118443541579164,0,Estr17+Cong17+Sab30+RUNAP_IHEH2030,prioritizr_model,120234.49999999996,26593.999999999993,strategic ecosystem,NA
congriales,TRUE,1473,250.41000000000003,976,0,0.17,0.6625933469110659,0,Estr17+Cong17+Sab30+RUNAP_IHEH2030,prioritizr_model,368.2499999999999,243.99999999999991,NA,NA
savannas,TRUE,588725,176617.5,176618,0,0.3,0.3000008492929636,0,Estr17+Cong17+Sab30+RUNAP_IHEH2030,prioritizr_model,147181.24999999994,44154.499999999985,NA,NA
Zonobioma Humedo Tropical Yarí - Chiribiquete,NA,3202,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab30+RUNAP_IHEH2030,post-hoc,800.4999999999998,0,ecosystem,NA
Peinobioma Yarí - Chiribiquete,NA,12,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab30+RUNAP_IHEH2030,post-hoc,2.999999999999999,0,ecosystem,NA
Helobioma Yarí - Chiribiquete,NA,207,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab30+RUNAP_IHEH2030,post-hoc,51.749999999999986,0,ecosystem,NA
Hidrobioma Huila - Caquetá,NA,2,NA,0,NA,NA,0,NA,Estr17+Cong17+Sab30+RUNAP_IHEH2030,post-hoc,0.49999999999999983,0,ecosystem,NA
Hidrobioma Macarena,NA,497,NA,175,NA,NA,0.352112676056338,NA,Estr17+Cong17+Sab30+RUNAP_IHEH2030,post-hoc,124.24999999999996,43.749999999999986,ecosystem,NA
Helobioma Macarena,NA,2438,NA,1092,NA,NA,0.4479081214109926,NA,Estr17+Cong17+Sab30+RUNAP_IHEH2030,post-hoc,609.4999999999998,272.9999999999999,ecosystem,NA
Zonobioma Humedo Tropical Picachos,NA,3251,NA,1399,NA,NA,0.4303291294986158,NA,Estr17+Cong17+Sab30+RUNAP_IHEH2030,post-hoc,812.7499999999998,349.7499999999999,ecosystem,NA
