feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,12719,13518,0,0.5,0.5314097020205991,0,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,2289.42,1216.62,strategic ecosystem,NA
bosque_seco,TRUE,3309,1654.5,1658,0,0.5,0.5010577213659716,0,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,297.81,149.22,strategic ecosystem,NA
humedales,TRUE,16078,8039,8039,0,0.5,0.5,0,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,1447.02,723.51,strategic ecosystem,NA
EC wetlands,TRUE,1718,1718,1718,0,1,1,0,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,prioritizr_model,154.62,154.62,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,200,NA,NA,0.7168458781362007,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,25.11,18,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4955,NA,NA,0.3323272971160295,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1341.8999999999999,445.95,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11379,NA,NA,0.5203493689409182,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1968.12,1024.11,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24281,NA,NA,0.35963327211327684,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,6076.44,2185.29,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,97,NA,NA,0.4024896265560166,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,21.689999999999998,8.73,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,908,NA,NA,0.1530423057475139,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,533.97,81.72,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,25,NA,NA,0.6097560975609756,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,3.69,2.25,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,938,NA,NA,0.672883787661406,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,125.46,84.42,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2564,NA,NA,0.12588373919874313,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,1833.12,230.76,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16653,NA,NA,0.25350118735919136,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,5912.28,1498.77,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,338,NA,NA,0.18643132928847214,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,163.17,30.419999999999998,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,457,NA,NA,0.22612568035625927,NA,Estr50+HuEC100+RUNAP+OMEC_IHEH2030,post-hoc,181.89,41.129999999999995,ecosystem,NA
