feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13507,0,0.17,0.5309772780879,0,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,2289.42,1215.6299999999999,strategic ecosystem,NA
bosque_seco,TRUE,3309,562.5300000000001,692,0,0.17000000000000004,0.20912662435781204,0,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,297.81,62.28,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,2,NA,NA,0.125,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.44,0.18,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,132,NA,NA,0.4731182795698925,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,25.11,11.879999999999999,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4889,NA,NA,0.3279007377598927,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1341.8999999999999,440.01,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11369,NA,NA,0.5198920797512346,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1968.12,1023.2099999999999,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24154,NA,NA,0.3577522365069021,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,6076.44,2173.86,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,82,NA,NA,0.34024896265560167,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,21.689999999999998,7.38,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,72,NA,NA,0.012135513231080398,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,533.97,6.4799999999999995,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,14,NA,NA,0.34146341463414637,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3.69,1.26,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,184,NA,NA,0.13199426111908177,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,125.46,16.56,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,1909,NA,NA,0.09372545168892381,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1833.12,171.81,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16136,NA,NA,0.2456311270778786,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,5912.28,1452.24,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,315,NA,NA,0.17374517374517376,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,163.17,28.349999999999998,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,254,NA,NA,0.1256803562592776,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,181.89,22.86,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,137,NA,NA,0.11933797909407666,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,103.32,12.33,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,868,NA,NA,0.08432915573690858,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,926.37,78.11999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,3037,NA,NA,0.08457254246727931,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3231.9,273.33,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,29,NA,NA,0.24369747899159663,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.709999999999999,2.61,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,39,NA,NA,0.07738095238095238,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,45.36,3.51,ecosystem,NA
Helobioma Chaparral,NA,122,NA,13,NA,NA,0.10655737704918032,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.98,1.17,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,8,NA,NA,0.42105263157894735,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.71,0.72,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,804,NA,NA,0.1773268636965152,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,408.06,72.36,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,531,NA,NA,0.23412698412698413,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,204.12,47.79,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1685,NA,NA,0.3506763787721124,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,432.45,151.65,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,343,NA,NA,0.5014619883040936,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,61.559999999999995,30.869999999999997,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,22,NA,NA,0.02689486552567237,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,73.61999999999999,1.98,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2537,NA,NA,0.19598300502124372,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1165.05,228.32999999999998,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5662,NA,NA,0.46269510500939776,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1101.33,509.58,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,2,NA,NA,0.058823529411764705,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3.06,0.18,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1646,NA,NA,0.09963077295563223,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1486.8899999999999,148.14,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5884,NA,NA,0.4608035084971415,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1149.21,529.56,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,30,NA,NA,0.013163668275559455,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,205.10999999999999,2.6999999999999997,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,291,NA,NA,0.2566137566137566,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,102.06,26.189999999999998,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,312,NA,NA,0.04423649510846448,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,634.77,28.08,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,341,NA,NA,0.31574074074074077,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,97.2,30.689999999999998,ecosystem,NA
Zonobioma Humedo Tropical Nechí - San Lucas,NA,9737,NA,1028,NA,NA,0.10557666632432988,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,876.3299999999999,92.52,ecosystem,NA
Hidrobioma Magdalena Medio y Depresión Momposina,NA,392,NA,153,NA,NA,0.3903061224489796,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,35.28,13.77,ecosystem,NA
Hidrobioma Nechí - San Lucas,NA,333,NA,201,NA,NA,0.6036036036036037,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,29.97,18.09,ecosystem,NA
Hidrobioma Estribaciones Pacífico Norte,NA,21,NA,2,NA,NA,0.09523809523809523,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.89,0.18,ecosystem,NA
Orobioma Subandino Nechí - San Lucas,NA,11272,NA,2194,NA,NA,0.1946415897799858,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1014.48,197.45999999999998,ecosystem,NA
Hidrobioma Cauca Alto,NA,117,NA,107,NA,NA,0.9145299145299145,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.53,9.629999999999999,ecosystem,NA
Zonobioma Humedo Tropical Cauca Alto,NA,363,NA,12,NA,NA,0.03305785123966942,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,32.67,1.08,ecosystem,NA
Orobioma Azonal Subandino Cauca Alto,NA,24,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.16,0,ecosystem,NA
Orobioma de Paramo Estribaciones Pacífico Norte,NA,1665,NA,772,NA,NA,0.4636636636636637,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,149.85,69.48,ecosystem,NA
Zonobioma Alternohigrico Tropical Magdalena Medio y Depresión Momposina,NA,380,NA,29,NA,NA,0.07631578947368421,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,34.199999999999996,2.61,ecosystem,NA
Helobioma Nechí - San Lucas,NA,25,NA,25,NA,NA,1,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.25,2.25,ecosystem,NA
Peinobioma Magdalena Medio y Depresión Momposina,NA,32,NA,11,NA,NA,0.34375,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.88,0.99,ecosystem,NA
Peinobioma Nechí - San Lucas,NA,23,NA,1,NA,NA,0.043478260869565216,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.07,0.09,ecosystem,NA
Orobioma Andino Nechí - San Lucas,NA,870,NA,420,NA,NA,0.4827586206896552,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,78.3,37.8,ecosystem,NA
Hidrobioma Cordillera Oriental Magdalena Medio,NA,5,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.44999999999999996,0,ecosystem,NA
Zonobioma Alternohigrico Tropical Cordillera Oriental Magdalena Medio,NA,8,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.72,0,ecosystem,NA
Helobioma Cordillera Oriental Magdalena Medio,NA,5,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.44999999999999996,0,ecosystem,NA
Craugastor fitzingeri,NA,32149,NA,10695,NA,NA,0.3326697564465458,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2893.41,962.55,species,Amphibia
Craugastor longirostris,NA,81308,NA,15145,NA,NA,0.18626703399419492,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,7317.719999999999,1363.05,species,Amphibia
Craugastor opimus,NA,0,NA,0,NA,NA,NA,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0,0,species,Amphibia
Craugastor raniformis,NA,77506,NA,15949,NA,NA,0.2057776172167316,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,6975.54,1435.4099999999999,species,Amphibia
Diasporus vocator,NA,0,NA,0,NA,NA,NA,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0,0,species,Amphibia
Eleutherodactylus johnstonei,NA,0,NA,0,NA,NA,NA,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0,0,species,Amphibia
Oreobates quixensis,NA,0,NA,0,NA,NA,NA,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0,0,species,Amphibia
Pristimantis achatinus,NA,87409,NA,27994,NA,NA,0.32026450365523,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,7866.8099999999995,2519.46,species,Amphibia
Pristimantis affinis,NA,0,NA,0,NA,NA,NA,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0,0,species,Amphibia
Pristimantis altamazonicus,NA,0,NA,0,NA,NA,NA,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0,0,species,Amphibia
Pristimantis anolirex,NA,0,NA,0,NA,NA,NA,NA,Estr17+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0,0,species,Amphibia
