feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13133,0,0.17,0.5162748643761302,0,Estr17+HuEC70+RUNAP_IHEH2022,prioritizr_model,2289.42,1181.97,strategic ecosystem,NA
bosque_seco,TRUE,3309,562.5300000000001,563,0,0.17000000000000004,0.17014203686914475,0,Estr17+HuEC70+RUNAP_IHEH2022,prioritizr_model,297.81,50.669999999999995,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+HuEC70+RUNAP_IHEH2022,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr17+HuEC70+RUNAP_IHEH2022,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,87,NA,NA,0.3118279569892473,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,25.11,7.83,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,303,NA,NA,0.020321931589537223,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,1341.8999999999999,27.27,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10437,NA,NA,0.4772727272727273,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,1968.12,939.3299999999999,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13705,NA,NA,0.20298892114461758,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,6076.44,1233.45,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,68,NA,NA,0.2821576763485477,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,21.689999999999998,6.12,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,96,NA,NA,0.016180684308107197,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,533.97,8.64,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,366,NA,NA,0.26255380200860834,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,125.46,32.94,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,1713,NA,NA,0.0841025137470542,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,1833.12,154.17,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,5363,NA,NA,0.08163855568410157,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,5912.28,482.66999999999996,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,149,NA,NA,0.07372587827808016,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,181.89,13.41,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,364,NA,NA,0.3170731707317073,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,103.32,32.76,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,835,NA,NA,0.08112309336442242,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,926.37,75.14999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,447,NA,NA,0.012447786131996659,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,3231.9,40.23,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,15,NA,NA,0.12605042016806722,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,10.709999999999999,1.3499999999999999,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,55,NA,NA,0.10912698412698413,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,45.36,4.95,ecosystem,NA
Helobioma Chaparral,NA,122,NA,2,NA,NA,0.01639344262295082,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,10.98,0.18,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,825,NA,NA,0.1819585355094839,NA,Estr17+HuEC70+RUNAP_IHEH2022,post-hoc,408.06,74.25,ecosystem,NA
