feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,9289,2786.7,6947,0,0.3,0.7478738292604156,0,Estr30+Cong30+Sab30+RUNAP_IHEH2022,prioritizr_model,2322.249999999999,1736.7499999999993,strategic ecosystem,NA
bosque_seco,TRUE,12116,3634.7999999999997,3635,0,0.3,0.30001650709805217,0,Estr30+Cong30+Sab30+RUNAP_IHEH2022,prioritizr_model,3028.999999999999,908.7499999999997,strategic ecosystem,NA
humedales,TRUE,480938,144281.4,144282,0,0.3,0.3000012475620558,0,Estr30+Cong30+Sab30+RUNAP_IHEH2022,prioritizr_model,120234.49999999996,36070.499999999985,strategic ecosystem,NA
congriales,TRUE,1473,441.9,988,0,0.3,0.6707399864222675,0,Estr30+Cong30+Sab30+RUNAP_IHEH2022,prioritizr_model,368.2499999999999,246.99999999999991,NA,NA
savannas,TRUE,588725,176617.5,176618,0,0.3,0.3000008492929636,0,Estr30+Cong30+Sab30+RUNAP_IHEH2022,prioritizr_model,147181.24999999994,44154.499999999985,NA,NA
Zonobioma Humedo Tropical Yarí - Chiribiquete,NA,3202,NA,0,NA,NA,0,NA,Estr30+Cong30+Sab30+RUNAP_IHEH2022,post-hoc,800.4999999999998,0,ecosystem,NA
Peinobioma Yarí - Chiribiquete,NA,12,NA,0,NA,NA,0,NA,Estr30+Cong30+Sab30+RUNAP_IHEH2022,post-hoc,2.999999999999999,0,ecosystem,NA
Helobioma Yarí - Chiribiquete,NA,207,NA,0,NA,NA,0,NA,Estr30+Cong30+Sab30+RUNAP_IHEH2022,post-hoc,51.749999999999986,0,ecosystem,NA
Hidrobioma Huila - Caquetá,NA,2,NA,0,NA,NA,0,NA,Estr30+Cong30+Sab30+RUNAP_IHEH2022,post-hoc,0.49999999999999983,0,ecosystem,NA
Hidrobioma Macarena,NA,497,NA,176,NA,NA,0.35412474849094566,NA,Estr30+Cong30+Sab30+RUNAP_IHEH2022,post-hoc,124.24999999999996,43.999999999999986,ecosystem,NA
Helobioma Macarena,NA,2438,NA,1095,NA,NA,0.4491386382280558,NA,Estr30+Cong30+Sab30+RUNAP_IHEH2022,post-hoc,609.4999999999998,273.7499999999999,ecosystem,NA
