feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,4324.46,13507,0,0.17,0.5309772780879,0,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,2289.42,1215.6299999999999,strategic ecosystem,NA
humedales,TRUE,16078,2733.26,2734,0,0.17,0.17004602562507776,0,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,1447.02,246.06,strategic ecosystem,NA
bosque seco,TRUE,3309,3309,3309,0,1,1,0,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,297.81,297.81,NA,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,3,NA,NA,0.1875,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.44,0.27,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,122,NA,NA,0.43727598566308246,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,25.11,10.98,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4884,NA,NA,0.32756539235412474,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1341.8999999999999,439.56,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,11369,NA,NA,0.5198920797512346,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1968.12,1023.2099999999999,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,24154,NA,NA,0.3577522365069021,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,6076.44,2173.86,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,82,NA,NA,0.34024896265560167,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,21.689999999999998,7.38,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,100,NA,NA,0.016854879487611663,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,533.97,9,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,14,NA,NA,0.34146341463414637,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3.69,1.26,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,196,NA,NA,0.1406025824964132,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,125.46,17.64,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,2592,NA,NA,0.1272584446190102,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1833.12,233.28,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,16526,NA,NA,0.2515679230347683,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,5912.28,1487.34,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,315,NA,NA,0.17374517374517376,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,163.17,28.349999999999998,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,291,NA,NA,0.14398812469074715,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,181.89,26.189999999999998,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,152,NA,NA,0.13240418118466898,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,103.32,13.68,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,932,NA,NA,0.09054697367142718,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,926.37,83.88,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,4129,NA,NA,0.1149818991924255,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3231.9,371.61,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,29,NA,NA,0.24369747899159663,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.709999999999999,2.61,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,79,NA,NA,0.15674603174603174,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,45.36,7.109999999999999,ecosystem,NA
Helobioma Chaparral,NA,122,NA,13,NA,NA,0.10655737704918032,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.98,1.17,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,8,NA,NA,0.42105263157894735,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.71,0.72,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,583,NA,NA,0.2570546737213404,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,204.12,52.47,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1685,NA,NA,0.3506763787721124,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,432.45,151.65,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,343,NA,NA,0.5014619883040936,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,61.559999999999995,30.869999999999997,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,22,NA,NA,0.02689486552567237,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,73.61999999999999,1.98,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2537,NA,NA,0.19598300502124372,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1165.05,228.32999999999998,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5664,NA,NA,0.46285854376072566,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1101.33,509.76,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,2,NA,NA,0.058823529411764705,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3.06,0.18,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1667,NA,NA,0.10090188245263604,NA,Estr17+Bs100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1486.8899999999999,150.03,ecosystem,NA
