feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,7631.4,13135,0,0.3,0.5163534869093482,0,Estr30+HuEC70+RUNAP_IHEH2022,prioritizr_model,2289.42,1182.1499999999999,strategic ecosystem,NA
bosque_seco,TRUE,3309,992.6999999999999,993,0,0.3,0.300090661831369,0,Estr30+HuEC70+RUNAP_IHEH2022,prioritizr_model,297.81,89.36999999999999,strategic ecosystem,NA
humedales,TRUE,16078,4823.4,4824,0,0.3,0.3000373180743874,0,Estr30+HuEC70+RUNAP_IHEH2022,prioritizr_model,1447.02,434.15999999999997,strategic ecosystem,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr30+HuEC70+RUNAP_IHEH2022,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,151,NA,NA,0.5412186379928315,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,25.11,13.59,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,336,NA,NA,0.022535211267605635,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,1341.8999999999999,30.24,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,10438,NA,NA,0.4773184561916956,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,1968.12,939.42,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,13783,NA,NA,0.2041442028556194,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,6076.44,1240.47,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,107,NA,NA,0.44398340248962653,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,21.689999999999998,9.629999999999999,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,145,NA,NA,0.02443957525703691,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,533.97,13.049999999999999,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,561,NA,NA,0.4024390243902439,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,125.46,50.489999999999995,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,1862,NA,NA,0.0914179104477612,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,1833.12,167.57999999999998,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,5556,NA,NA,0.0845765085550752,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,5912.28,500.03999999999996,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,399,NA,NA,0.19742701632855023,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,181.89,35.91,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,652,NA,NA,0.5679442508710801,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,103.32,58.68,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,914,NA,NA,0.08879821237734382,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,926.37,82.25999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,760,NA,NA,0.021164021164021163,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,3231.9,68.39999999999999,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,33,NA,NA,0.2773109243697479,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,10.709999999999999,2.9699999999999998,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,98,NA,NA,0.19444444444444445,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,45.36,8.82,ecosystem,NA
Helobioma Chaparral,NA,122,NA,24,NA,NA,0.19672131147540983,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,10.98,2.16,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,611,NA,NA,0.26940035273368607,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,204.12,54.989999999999995,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,7,NA,NA,0.0014568158168574402,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,432.45,0.63,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr30+HuEC70+RUNAP_IHEH2022,post-hoc,8.459999999999999,1.71,ecosystem,NA
