feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,25438,25438,0,1,1,0,Estr100+HuEC70+RUNAP_IHEH2030,prioritizr_model,2289.42,2289.42,strategic ecosystem,NA
bosque_seco,TRUE,3309,3309,3309,0,1,1,0,Estr100+HuEC70+RUNAP_IHEH2030,prioritizr_model,297.81,297.81,strategic ecosystem,NA
humedales,TRUE,16078,16078,16078,0,1,1,0,Estr100+HuEC70+RUNAP_IHEH2030,prioritizr_model,1447.02,1447.02,strategic ecosystem,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr100+HuEC70+RUNAP_IHEH2030,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr100+HuEC70+RUNAP_IHEH2030,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,166,NA,NA,0.5949820788530465,NA,Estr100+HuEC70+RUNAP_IHEH2030,post-hoc,25.11,14.94,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,374,NA,NA,0.025083836351441985,NA,Estr100+HuEC70+RUNAP_IHEH2030,post-hoc,1341.8999999999999,33.66,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,20409,NA,NA,0.9332815072251692,NA,Estr100+HuEC70+RUNAP_IHEH2030,post-hoc,1968.12,1836.81,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,0,NA,NA,0,NA,Estr100+HuEC70+RUNAP_IHEH2030,post-hoc,0.8099999999999999,0,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,15865,NA,NA,0.23498133775697613,NA,Estr100+HuEC70+RUNAP_IHEH2030,post-hoc,6076.44,1427.85,ecosystem,NA
