feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
paramos,TRUE,25438,25438,25438,0,1,1,0,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,2289.42,2289.42,strategic ecosystem,NA
bosque_seco,TRUE,3309,3309,3309,0,1,1,0,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,297.81,297.81,strategic ecosystem,NA
humedales,TRUE,16078,16078,16078,0,1,1,0,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,1447.02,1447.02,strategic ecosystem,NA
EC wetlands,TRUE,1718,1202.6,1203,0,0.7,0.70023282887078,0,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,prioritizr_model,154.62,108.27,NA,NA
Helobioma San Juan,NA,16,NA,16,NA,NA,1,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.44,1.44,ecosystem,NA
Hidrobioma Cordillera Central,NA,279,NA,200,NA,NA,0.7168458781362007,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,25.11,18,ecosystem,NA
Orobioma Subandino Cordillera Central,NA,14910,NA,4965,NA,NA,0.3329979879275654,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1341.8999999999999,446.84999999999997,ecosystem,NA
Orobioma de Paramo Cordillera Central,NA,21868,NA,21067,NA,NA,0.9633711359063472,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1968.12,1896.03,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Central,NA,9,NA,2,NA,NA,0.2222222222222222,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.8099999999999999,0.18,ecosystem,NA
Orobioma Andino Cordillera Central,NA,67516,NA,26267,NA,NA,0.38904852183186206,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,6076.44,2364.0299999999997,ecosystem,NA
Helobioma Cordillera Central,NA,241,NA,214,NA,NA,0.8879668049792531,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,21.689999999999998,19.259999999999998,ecosystem,NA
Helobioma Cauca Medio,NA,5933,NA,5844,NA,NA,0.9849991572560256,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,533.97,525.96,ecosystem,NA
Hidrobioma San Juan,NA,41,NA,31,NA,NA,0.7560975609756098,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3.69,2.79,ecosystem,NA
Hidrobioma Cauca Medio,NA,1394,NA,1271,NA,NA,0.9117647058823529,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,125.46,114.39,ecosystem,NA
Orobioma Azonal Subandino Cauca Medio,NA,20368,NA,3237,NA,NA,0.1589257659073056,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1833.12,291.33,ecosystem,NA
Orobioma Subandino Cauca Medio,NA,65692,NA,17061,NA,NA,0.2597119892833222,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,5912.28,1535.49,ecosystem,NA
Zonobioma Humedo Tropical San Juan,NA,1813,NA,350,NA,NA,0.19305019305019305,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,163.17,31.5,ecosystem,NA
Helobioma Tolima Grande,NA,2021,NA,1885,NA,NA,0.9327065809005443,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,181.89,169.65,ecosystem,NA
Hidrobioma Tolima Grande,NA,1148,NA,1050,NA,NA,0.9146341463414634,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,103.32,94.5,ecosystem,NA
Zonobioma Humedo Tropical Tolima Grande,NA,10293,NA,1102,NA,NA,0.10706305255999223,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,926.37,99.17999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Tolima Grande,NA,35910,NA,4627,NA,NA,0.12884990253411305,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3231.9,416.43,ecosystem,NA
Hidrobioma Chaparral,NA,119,NA,78,NA,NA,0.6554621848739496,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.709999999999999,7.02,ecosystem,NA
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,119,NA,NA,0.2361111111111111,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,45.36,10.709999999999999,ecosystem,NA
Helobioma Chaparral,NA,122,NA,84,NA,NA,0.6885245901639344,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.98,7.56,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,829,NA,NA,0.18284075871195413,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,408.06,74.61,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,611,NA,NA,0.26940035273368607,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,204.12,54.989999999999995,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,1693,NA,NA,0.35234131113423517,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,432.45,152.37,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,353,NA,NA,0.5160818713450293,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,61.559999999999995,31.77,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,65,NA,NA,0.07946210268948656,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,73.61999999999999,5.85,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2654,NA,NA,0.20502124372344535,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1165.05,238.85999999999999,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,6,NA,NA,1,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,0.54,0.54,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5670,NA,NA,0.4633488600147095,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1101.33,510.29999999999995,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,462,NA,NA,0.9467213114754098,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,43.92,41.58,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,4,NA,NA,0.11764705882352941,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,3.06,0.36,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1696,NA,NA,0.10265722413897464,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1486.8899999999999,152.64,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5949,NA,NA,0.4658939619390712,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,1149.21,535.41,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,30,NA,NA,0.013163668275559455,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,205.10999999999999,2.6999999999999997,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,298,NA,NA,0.26278659611992944,NA,Estr100+HuEC70+RUNAP+OMEC_IHEH2030,post-hoc,102.06,26.82,ecosystem,NA
