scientific_name,class,iucn_status,range_km2,range_pct_country,range_runap_km2,range_pct_runap,range_omec_km2,range_pct_omec
Nothocercus julius,Aves,LC,161091.8835383093,14.09,40430.6986236297,25.1,57702.325160059816,35.82
Nothocercus bonapartei,Aves,LC,156778.13729445517,13.71,29586.53701780792,18.87,49207.03995874146,31.39
Tinamus tao,Aves,VU,251734.12841114943,22.01,56928.34897357404,22.61,87230.96067513306,34.65
Tinamus osgoodi,Aves,VU,94026.02501960192,8.22,17673.55811676706,18.8,28583.33214940616,30.4
Tinamus major,Aves,LC,889954.4856684144,77.81,172956.94073588366,19.43,261219.4532470697,29.35
Tinamus guttatus,Aves,NT,671485.3514060178,58.71,124579.09976262695,18.55,195887.43585510255,29.17
Crypturellus berlepschi,Aves,LC,73432.01819281008,6.42,8997.532525254883,12.25,11084.92874884082,15.1
Crypturellus cinereus,Aves,LC,671250.8487764252,58.69,129589.22858803412,19.31,197442.9283307269,29.41
Crypturellus soui,Aves,LC,839180.9047301813,73.37,147012.4655885218,17.52,238874.0535500156,28.47
Crypturellus obsoletus,Aves,LC,105547.61971430611,9.23,21016.718459319854,19.91,34388.249028851125,32.58
Crypturellus undulatus,Aves,LC,642738.339180294,56.2,116697.79214686793,18.16,179604.9156292107,27.94
Crypturellus erythropus,Aves,LC,21441.96961096823,1.87,1379.8968898507997,6.44,2762.5641097966613,12.88
Crypturellus variegatus,Aves,LC,403445.6818431269,35.28,100946.10431553224,25.02,138555.82900890725,34.34
Anhima cornuta,Aves,LC,808262.1474599445,70.67,150529.9574473201,18.62,231150.75156075225,28.6
Chauna chavaria,Aves,LC,118839.27658818882,10.39,12401.70997398584,10.44,47005.677077808105,39.55
Dendrocygna bicolor,Aves,LC,295240.39382958255,25.81,46763.1540537191,15.84,101072.36285293291,34.23
Dendrocygna viduata,Aves,LC,707130.6504041324,61.83,125456.5472538064,17.74,232226.10756260395,32.84
