scientific_name,class,endemic,threat_status,iucn_status,mads_status,range_km2,range_adjusted_km2,range_pct_country,range_pct_country_adjusted,range_runap_km2,range_pct_runap,range_omec_runap_km2,range_pct_omec_runap,w_amenaza,min_range,max_range,range_effect,responsibility,target_km2,conservation_type,target_met
Nothocercus julius,Aves,0,LC,LC,NA,161084.4808737772,161084.4808737772,14.09,14.09,40001.089536,24.83,57121.042432,35.46,0.05,1143.4700565339924,1029123.0508805931,0.34536653349387714,0.014835219446229493,2389.7236231444426,RUNAP,TRUE
Nothocercus julius,Aves,0,LC,LC,NA,161084.4808737772,161084.4808737772,14.09,14.09,40001.089536,24.83,57121.042432,35.46,0.05,1143.4700565339924,1029123.0508805931,0.34536653349387714,0.014835219446229493,2389.7236231444426,OMEC,TRUE
Nothocercus bonapartei,Aves,0,LC,LC,NA,156757.2409380942,156757.2409380942,13.71,13.71,29402.918912,18.76,48807.60832,31.14,0.05,1143.4700565339924,1029123.0508805931,0.3489693121396695,0.015056280972266037,2360.1810640011504,RUNAP,TRUE
Nothocercus bonapartei,Aves,0,LC,LC,NA,156757.2409380942,156757.2409380942,13.71,13.71,29402.918912,18.76,48807.60832,31.14,0.05,1143.4700565339924,1029123.0508805931,0.3489693121396695,0.015056280972266037,2360.1810640011504,OMEC,TRUE
Tinamus tao,Aves,0,VU,VU,NA,251700.64382738248,251700.64382738248,22.01,22.01,56371.552256,22.4,86454.616064,34.35,0.33,1143.4700565339924,1029123.0508805931,0.28631668854003933,0.0736884671794843,18547.43463172914,RUNAP,TRUE
Tinamus tao,Aves,0,VU,VU,NA,251700.64382738248,251700.64382738248,22.01,22.01,56371.552256,22.4,86454.616064,34.35,0.33,1143.4700565339924,1029123.0508805931,0.28631668854003933,0.0736884671794843,18547.43463172914,OMEC,TRUE
Tinamus osgoodi,Aves,0,EN,VU,EN,94008.72854035292,94008.72854035292,8.22,8.22,17573.152768,18.69,28455.641088,30.27,0.78,1143.4700565339924,1029123.0508805931,0.41661896789804576,0.2982508532147246,28038.18349679169,RUNAP,FALSE
Tinamus osgoodi,Aves,0,EN,VU,EN,94008.72854035292,94008.72854035292,8.22,8.22,17573.152768,18.69,28455.641088,30.27,0.78,1143.4700565339924,1029123.0508805931,0.41661896789804576,0.2982508532147246,28038.18349679169,OMEC,TRUE
Tinamus major,Aves,0,LC,LC,NA,889721.0904260229,889721.0904260229,77.81,77.81,171912.216576,19.32,231209.435136,25.99,0.05,1143.4700565339924,1029123.0508805931,0.1192577549803478,0.0013231647915069587,1177.2476211128924,RUNAP,TRUE
Tinamus major,Aves,0,LC,LC,NA,889721.0904260229,889721.0904260229,77.81,77.81,171912.216576,19.32,231209.435136,25.99,0.05,1143.4700565339924,1029123.0508805931,0.1192577549803478,0.0013231647915069587,1177.2476211128924,OMEC,TRUE
