id,run_name,scope,tif_file,json_file,cost_layer_id,feature_layer_ids,include_layer_ids,exclude_layer_ids,n_selected,cost,pct_targets_met,coverage_rows
estr30_runap_hf,ESTR30+RUNAP_HF,nacional,ESTR30+RUNAP_HF.tif,ESTR30+RUNAP_HF.json,COST_HF_2030,FEAT_PARAMOS;FEAT_MANGROVES;FEAT_WETLANDS;FEAT_DRY_FOREST,INCL_RUNAP,,404519,3585849.234,100,4
ecos17_runap_omec_co,Ecos17+RUNAP+OMEC_CO,nacional,Ecos17+RUNAP+OMEC_CO.tif,Ecos17+RUNAP+OMEC_CO.json,COST_NET_BENEFIT,FEAT_SPECIES_RICHNESS,INCL_RUNAP;INCL_OMECS,,341584,6.76E+12,100,1
ecos17_runap_omec_hf,Ecos17+RUNAP+OMEC_HF,nacional,Ecos17+RUNAP+OMEC_HF.tif,Ecos17+RUNAP+OMEC_HF.json,COST_HF_2030,FEAT_SPECIES_RICHNESS,INCL_RUNAP;INCL_OMECS,,339883,7857664.19,100,1
ecos17_runap_co,Ecos17+RUNAP_CO,nacional,Ecos17+RUNAP_CO.tif,Ecos17+RUNAP_CO.json,COST_NET_BENEFIT,FEAT_SPECIES_RICHNESS,INCL_RUNAP,,226225,1.51E+12,100,1
ecos17_runap_conflicto,Ecos17+RUNAP_CONFLICTO,nacional,Ecos17+RUNAP_CONFLICTO.tif,Ecos17+RUNAP_CONFLICTO.json,COST_CONFLICT,FEAT_SPECIES_RICHNESS,INCL_RUNAP,,,,,0
ecos17_runap_hf,Ecos17+RUNAP_HF,nacional,Ecos17+RUNAP_HF.tif,Ecos17+RUNAP_HF.json,COST_HF_2030,FEAT_SPECIES_RICHNESS,INCL_RUNAP,,,,,0
ecos17_runap_hf_comunidades,Ecos17+RUNAP_HF_comunidades,nacional,Ecos17+RUNAP_HF_comunidades.tif,Ecos17+RUNAP_HF_comunidades.json,COST_HF_2030,FEAT_SPECIES_RICHNESS,INCL_RUNAP;INCL_COMUNIDADES,,,,,0
ecos17_runap_comunidades_co,Ecos17+RUNAP_comunidades_CO,nacional,Ecos17+RUNAP_comunidades_CO.tif,Ecos17+RUNAP_comunidades_CO.json,COST_NET_BENEFIT,FEAT_SPECIES_RICHNESS,INCL_RUNAP;INCL_COMUNIDADES,,618026,2.19E+12,100,1
ecos30_runap_omec_co,Ecos30+RUNAP+OMEC_CO,nacional,Ecos30+RUNAP+OMEC_CO.tif,Ecos30+RUNAP+OMEC_CO.json,COST_NET_BENEFIT,FEAT_SPECIES_RICHNESS,INCL_RUNAP;INCL_OMECS,,389568,6.77E+12,100,1
ecos30_runap_omec_hf,Ecos30+RUNAP+OMEC_HF,nacional,Ecos30+RUNAP+OMEC_HF.tif,Ecos30+RUNAP+OMEC_HF.json,COST_HF_2030,FEAT_SPECIES_RICHNESS,INCL_RUNAP;INCL_OMECS,,387656,7989322.192,100,1
ecos30_runap_co,Ecos30+RUNAP_CO,nacional,Ecos30+RUNAP_CO.tif,Ecos30+RUNAP_CO.json,COST_NET_BENEFIT,FEAT_SPECIES_RICHNESS,INCL_RUNAP,,369102,1.61E+12,100,1
ecos30_runap_conflicto,Ecos30+RUNAP_CONFLICTO,nacional,Ecos30+RUNAP_CONFLICTO.tif,Ecos30+RUNAP_CONFLICTO.json,COST_CONFLICT,FEAT_SPECIES_RICHNESS,INCL_RUNAP,,437610,74278.08419,100,1
ecos30_runap_hf,Ecos30+RUNAP_HF,nacional,Ecos30+RUNAP_HF.tif,Ecos30+RUNAP_HF.json,COST_HF_2030,FEAT_SPECIES_RICHNESS,INCL_RUNAP,,,,,0
ecos30_runap_hf_comunidades,Ecos30+RUNAP_HF_comunidades,nacional,Ecos30+RUNAP_HF_comunidades.tif,Ecos30+RUNAP_HF_comunidades.json,COST_HF_2030,FEAT_SPECIES_RICHNESS,INCL_RUNAP;INCL_COMUNIDADES,,614971,5530905.343,100,1
