layer_id,layer_name_spanish,layer_name_english,current_csv_layer_group,in_use_now,proposed_manifest_category_id,proposed_category_spanish_label,proposed_category_english_label,proposed_frontend_group,needs_team_review,team_approved_category_id,team_notes
species_richness,Riqueza de especies,Species Richness,Biodiversidad,TRUE,species_and_biodiversity,Especies y biodiversidad,Species & Biodiversity,Species & Biodiversity,FALSE,,
species,Distribuciones de especies individuales (~8751),Individual Species Distributions,Biodiversidad,TRUE,species_and_biodiversity,Especies y biodiversidad,Species & Biodiversity,Species & Biodiversity,FALSE,,
paramos,Páramos,,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
wetlands,Humedales,Wetlands,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
bosque_seco,Bosque seco,Dry Forest,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
mangroves,Manglares,Mangroves,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
ecosistemas,Ecosistemas,Ecosystems,Ecosistemas,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
marine_ecosystems,Ecosistemas marinos,Marine Ecosystems,Ecosistemas,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
biomasa_areara_subterranea_1km,Biomasa aérea y subterránea,Above and belowground biomass,Servicios ecosistémicos,FALSE,environmental_services,Servicios ecosistémicos,Environmental Services,Environmental Services,TRUE,,
recarga_agua_subterranea_moderado_alto,Recarga de aguas subterraneas,Underground water recharge,Servicios ecosistémicos,FALSE,environmental_services,Servicios ecosistémicos,Environmental Services,Environmental Services,TRUE,,
human_footprint_2022,Índice de Huella Espacial Humana 2022,Human Footprint 2022,Costo,TRUE,socioeconomic,Socioeconómico,Socio-economic,Socio-economic,TRUE,,
hhm,Huella humana marina,Marine Human Modification (HHM),Costo,TRUE,socioeconomic,Socioeconómico,Socio-economic,Socio-economic,TRUE,,
human_footprint_2030,Índice de Huella Espacial Humana 2030,Human Footprint 2030,Costo,FALSE,prospective_models,Modelos prospectivos,Prospective Models,Prospective Models,TRUE,,
net_benefit,Beneficio neto (renta agropecuaria),Net Benefit (agricultural rent),Costo,TRUE,socioeconomic,Socioeconómico,Socio-economic,Socio-economic,TRUE,,
conflict,Conflictos (coca muertes),Conflict (Coca deaths),Costo,FALSE,conflict_and_security,Conflicto y seguridad,Conflict & Security,Conflict & Security,TRUE,,
climate_refugia,Velocidad del cambio climático,Climate Change Velocity,Costo,FALSE,prospective_models,Modelos prospectivos,Prospective Models,Prospective Models,TRUE,,
runap,Áreas protegidas (RUNAP 2023),Protected Areas (RUNAP 2023),Límite político o administrativo,TRUE,management_figures,Áreas de conservación,Conservation Areas,Conservation Areas,TRUE,,
siraps,Combined SIRAP review layer,,Límite político o administrativo,TRUE,administrative_boundaries,Límites administrativos,Administrative Boundaries,Administrative Boundaries,TRUE,,
siraps_territorial,Territorial SIRAPs,,Límite político o administrativo,TRUE,administrative_boundaries,Límites administrativos,Administrative Boundaries,Administrative Boundaries,TRUE,,
siraps_thematic,Thematic SIRAP additions,,Límite político o administrativo,TRUE,administrative_boundaries,Límites administrativos,Administrative Boundaries,Administrative Boundaries,TRUE,,
omecs,OMECs (raster),,Límite político o administrativo,TRUE,management_figures,Áreas de conservación,Conservation Areas,Conservation Areas,TRUE,,
comunidades,Comunidades Negras,Afro-Colombian Communities,Límite político o administrativo,TRUE,cultural_and_ethnic_territories,Territorios culturales y étnicos,Cultural & Ethnic Territories,Cultural & Ethnic Territories,TRUE,,
resguardos,Resguardos Indígenas,Indigenous Reserves,Límite político o administrativo,TRUE,cultural_and_ethnic_territories,Territorios culturales y étnicos,Cultural & Ethnic Territories,Cultural & Ethnic Territories,TRUE,,
admin_departments,Departamentos,,Límite político o administrativo,TRUE,administrative_boundaries,Límites administrativos,Administrative Boundaries,Administrative Boundaries,TRUE,,
admin_municipalities,Municipios,,Límite político o administrativo,TRUE,administrative_boundaries,Límites administrativos,Administrative Boundaries,Administrative Boundaries,TRUE,,
coberturas,Cobertura de la tierra,Land Use,Coberturas,TRUE,socioeconomic,Socioeconómico,Socio-economic,Socio-economic,FALSE,,
zonas_reserva_campesina_constituida,Zonas de Reserva Campesina Constituida,Constituted Peasant Reserve Zones,Territorios culturales y étnicos,TRUE,cultural_and_ethnic_territories,Territorios culturales y étnicos,Cultural & Ethnic Territories,Cultural & Ethnic Territories,FALSE,,
ramsar,Humedales RAMSAR,Ramsar Wetlands,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
biosphere_reserves,Reservas de biosfera,Biosphere Reserves,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
reservas_forestales_ley_2_1959,Reservas Forestales de Ley 2da de 1959,Forest Reserves under Law 2 of 1959,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
kba_aica,KBA y AICAS,KBA / AICA,Biodiversidad,FALSE,species_and_biodiversity,Especies y biodiversidad,Species & Biodiversity,Species & Biodiversity,TRUE,,
