"Metric #","Metric ID","Display Name","Tool Surface","Tool Status","Runtime Scope","Unit","Formula / Assumption","Input File / Layer","Local Path","Vercel / Download URL","Data Source / Provenance","Visibility Notes","Caveats / Questions"
"1","conservation_goals_met","Conservation Goals Met","Solution Overview","Placeholder only","National / solution","%","Reads pctTargetsMet from solution summaryMetrics in the manifest; intended as targets met divided by total targets.","Solution manifest summaryMetrics.pctTargetsMet","frontend/layer-manifest/latest/manifest.latest.json","https://aagibolq28slyfof.public.blob.vercel-storage.com/manifest/manifest.json","Prioritizr solution output / manifest metadata","Overview card exists, but the value is not final without the missing goal / coverage source data.","Needs Nick's per-solution goal / coverage CSV before this can be treated as final."
"2","species_groups_protected","Species Groups Protected","Solution Overview","Placeholder only","National / solution","count","Counts coverage rows where met is true; currently cannot produce a final value because no usable coverage rows are present.","Solution manifest coverage[] rows","frontend/layer-manifest/latest/manifest.latest.json","https://aagibolq28slyfof.public.blob.vercel-storage.com/manifest/manifest.json","Prioritizr target coverage output / manifest metadata","Overview card exists, but the value is not final without the missing goal / coverage source data.","Definition of species groups and upstream coverage export still need confirmation."
"3","threatened_species_secured","Threatened Species Secured","Solution Overview","Visible in tool","National and AOI scopes","count","Count of CR/EN/VU non-fish species where priority-area overlap within the scope meets or exceeds the scenario target percent.","Species ranges plus IUCN status lookup","data/biomod_spp_ranges_updatedIUCN.csv","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/metadata/biomod_spp_ranges_updatedIUCN.csv","Biomod species range outputs with updated IUCN assessments","Overview metric card is wired to cached metric.","Excludes Actinopteri / fish from the current species workflow."
"4","ecosystem_coverage","Ecosystem Coverage","Solution Overview","Visible in tool","National and AOI scopes","km2","Selected solution area intersected with valid cells in ecosistemas.tif.","ecosistemas.tif","data/inputs/features/ecosystems/ecosistemas.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/ecosystems/ecosistemas.tif","Ecosystem feature raster in manifest","Overview metric card is wired to cached metric.","Ecosystem class dictionary still needs final source confirmation from Nick / source shapefile."
"5","carbon_storage_biomass","Carbon Storage Capacity","Solution Overview","Visible in tool","National and AOI scopes","Mg-km2","Weighted sum of pixel value times pixel area for selected cells; uses combined above + below-ground biomass.","biomasa_areara+subterranea_1km.tif","data/inputs/features/biomass/biomasa_areara+subterranea_1km.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/biomass/biomasa_areara+subterranea_1km.tif","SPAWN / biomass source as tracked in input layers","Overview metric card is wired to cached metric.","Unit/provenance needs final confirmation; if raster is Mg/ha, multiply by 100 to convert Mg-km2 output to total Mg."
"6","water_regulation_area","Water Regulation Services Area","Solution Overview","Visible in tool","National and AOI scopes","km2","Selected solution area overlapping moderate-to-high groundwater recharge zone.","recarga_agua_subterranea_moderado_alto.tif","data/inputs/features/ground_water_recharge/recarga_agua_subterranea_moderado_alto.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/ground_water_recharge/recarga_agua_subterranea_moderado_alto.tif","IDEAM groundwater recharge layer","Overview metric card is wired to cached metric.","This is an area metric, not a volumetric m3 or hydrologic capacity estimate."
"8","","Agricultural Opportunity Cost","Solution Overview / AOI Dashboard","Placeholder only","National and AOI scopes","COP / USD","Would sum agricultural opportunity cost value times selected area if approved source is available.","Agricultural opportunity cost layer","Not available","Not available","Potentially related to net_benefit.tif / cost layer","Placeholder / conditional row only.","Needs Mesa / team decision on whether this should be reported and which source should be used."
"9","agricultural_area","Affected Agricultural Area","Solution Overview","Visible in tool","National and AOI scopes","km2","Selected solution area classified as agricultural land in coberturas.tif class 2.","coberturas.tif class 2","data/boundaries/coberturas.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/boundaries/coberturas.tif","IDEAM CORINE land-cover layer adapted for Colombia","Overview metric card is wired to cached metric.","Class 2 combines pasture and crop agriculture at Level 1 resolution."
"13","","Conflict Zone Overlap","Solution Overview / AOI Dashboard","Placeholder only","National and AOI scopes","km2","Would calculate selected solution area overlapping current or historical conflict zones if source is approved.","Conflict zone layer","Not available","Not available","Potential candidate mentioned: coco-muertes raster","Placeholder / conditional row only.","Needs decision on whether to use conflict as an output stat and which conflict definition is appropriate."
"17","national_contribution","National Contribution","Solution Overview / AOI Dashboard","Visible in tool","National / solution","%","Selected km2 divided by total valid km2 in the solution raster.","Solution raster plus national analysis boundary","frontend/layer-manifest/latest/manifest.latest.json","https://aagibolq28slyfof.public.blob.vercel-storage.com/manifest/manifest.json","Prioritizr solution raster / manifest solution entries","Overview metric card and AOI hero are wired to cached metric.","Team may also want a companion value showing new/additional area beyond existing protection."
