layer_id,layer_name_spanish,layer_name_english,current_csv_layer_group,in_use_now,proposed_manifest_category_id,proposed_category_spanish_label,proposed_category_english_label,proposed_frontend_group,needs_team_review,team_approved_category_id,team_notes
species_richness,Riqueza de especies,Species Richness,Biodiversidad,TRUE,species_and_biodiversity,Especies y biodiversidad,Species & Biodiversity,Species & Biodiversity,FALSE,,
species,Distribuciones de especies individuales (~8751),Individual Species Distributions,Biodiversidad,TRUE,species_and_biodiversity,Especies y biodiversidad,Species & Biodiversity,Species & Biodiversity,FALSE,,
paramos,Páramos,,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
wetlands,Humedales,Wetlands,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
bosque_seco,Bosque seco,Dry Forest,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
mangroves,Manglares,Mangroves,Ecosistemas estratégicos,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
ecosistemas,Ecosistemas,Ecosystems,Ecosistemas,TRUE,ecosystems,Ecosistemas,Ecosystems,Ecosystems,FALSE,,
biomasa_areara_subterranea_1km,Biomasa aérea y subterránea,Above and belowground biomass,Servicios ecosistémicos,FALSE,environmental_services,Servicios ecosistémicos,Environmental Services,Environmental Services,TRUE,,
recarga_agua_subterranea_moderado_alto,Recarga de aguas subterraneas,Underground water recharge,Servicios ecosistémicos,FALSE,environmental_services,Servicios ecosistémicos,Environmental Services,Environmental Services,TRUE,,
human_footprint_2022,Índice de Huella Espacial Humana 2022,Human Footprint 2022,Costo,TRUE,socioeconomic,Socioeconómico,Socio-economic,Socio-economic,TRUE,,
human_footprint_2030,Índice de Huella Espacial Humana 2030,Human Footprint 2030,Costo,FALSE,prospective_models,Modelos prospectivos,Prospective Models,Prospective Models,TRUE,,
net_benefit,Beneficio neto (renta agropecuaria),Net Benefit (agricultural rent),Costo,TRUE,socioeconomic,Socioeconómico,Socio-economic,Socio-economic,TRUE,,
conflict,Conflictos (coca muertes),Conflict (Coca deaths),Costo,FALSE,conflict_and_security,Conflicto y seguridad,Conflict & Security,Conflict & Security,TRUE,,
climate_refugia,Velocidad del cambio climático,Climate Change Velocity,Costo,FALSE,prospective_models,Modelos prospectivos,Prospective Models,Prospective Models,TRUE,,
runap,Áreas protegidas (RUNAP 2023),Protected Areas (RUNAP 2023),Límite político o administrativo,TRUE,management_figures,Figuras de manejo,Management Figures,Management Figures,TRUE,,
siraps,Limites SIRAPS,,Límite político o administrativo,TRUE,administrative_boundaries,Límites administrativos,Administrative Boundaries,Administrative Boundaries,TRUE,,
omecs,OMECs (raster),,Límite político o administrativo,TRUE,management_figures,Figuras de manejo,Management Figures,Management Figures,TRUE,,
comunidades,Comunidades Negras,Afro-Colombian Communities,Límite político o administrativo,TRUE,cultural_and_ethnic_territories,Territorios culturales y étnicos,Cultural & Ethnic Territories,Cultural & Ethnic Territories,TRUE,,
resguardos,Resguardos Indígenas,Indigenous Reserves,Límite político o administrativo,TRUE,cultural_and_ethnic_territories,Territorios culturales y étnicos,Cultural & Ethnic Territories,Cultural & Ethnic Territories,TRUE,,
admin_departments,Departamentos,,Límite político o administrativo,TRUE,administrative_boundaries,Límites administrativos,Administrative Boundaries,Administrative Boundaries,TRUE,,
admin_municipalities,Municipios,,Límite político o administrativo,TRUE,administrative_boundaries,Límites administrativos,Administrative Boundaries,Administrative Boundaries,TRUE,,
coberturas,Cobertura de la tierra,Land Cover (raster),Coberturas,FALSE,territorial_planning,Ordenamiento territorial,Territorial Planning,Territorial Planning,TRUE,,
